"income","gender","age","party","trump_approval","education","robots","climate_change","transformers","science_is_honest","vaccines_are_safe","books","ghosts","fed_sci_budget","earth_sun","wise_unwise"
98,"Male",57,"Independent","Strongly disapprove","Some college","Unlikely","Real and Caused by People",1,"Strongly Agree","Strongly Agree",2,"No","Too Low","FALSE","Wise and Unhappy"
39,"Female",57,"Independent","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",1,"Strongly Agree","Somewhat Agree",15,"No","Too Low","TRUE","Wise and Unhappy"
26,"Male",49,"Independent","Somewhat Approve","College degree","Unlikely","Not Real At All",0,"Somewhat Agree","Strongly Agree",0,"No","About Right","FALSE","Unwise and happy"
70,"Female",72,"Republican","Strongly Approve","High school","Unlikely","Not Real At All",0,"Somewhat Disagree","Somewhat Agree",2,"No","About Right","FALSE","Unwise and happy"
174,"Female",68,"Democrat","Strongly disapprove","Graduate degree","Likely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",0,"No","About Right","TRUE","Unwise and happy"
62,"Female",60,"Republican","Strongly Approve","Graduate degree","Unlikely","Not Real At All",0,"Somewhat Disagree","Strongly Agree",10,"No","Too Low","FALSE","Unwise and happy"
98,"Female",63,"Independent","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Somewhat Agree",30,"No","About Right","FALSE","Unwise and happy"
118,"Male",46,"Republican","Strongly Approve","Some college","Unlikely","Not Real At All",1,"Somewhat Disagree","Strongly Agree",25,"No","Too High","FALSE","Wise and Unhappy"
98,"Male",39,"Independent","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",4,"Somewhat Disagree","Somewhat Disagree",1000,"Yes","Too High","TRUE","Wise and Unhappy"
58,"Male",50,"Republican","Somewhat Approve","High school","Unlikely","Real and Caused by People",0,"Somewhat Agree","Somewhat Agree",0,"No","Too High","FALSE","Wise and Unhappy"
58,"Male",88,"Independent","Neither approve nor disapprove","College degree","Likely","Real but not Caused by People",0,"Strongly Agree","Strongly Agree",0,"No","About Right","TRUE","Wise and Unhappy"
101,"Male",31,"Republican","Somewhat Approve","College degree","Unlikely","Real but not Caused by People",1,"Somewhat Agree","Strongly Agree",4,"No","Too Low","FALSE","Unwise and happy"
92,"Male",45,"Republican","Neither approve nor disapprove","High school","Unlikely","Real but not Caused by People",0,"Somewhat Agree","Strongly Agree",0,"No","Too Low","FALSE","Wise and Unhappy"
90,"Other",30,"Democrat","Strongly Approve","High school","Unlikely","Real and Caused by People",1,"Strongly Agree","Strongly Agree",2,"Yes","Too High","FALSE","Unwise and happy"
80,"Female",64,"Republican","Strongly Approve","High school","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",20,"No","About Right","TRUE","Wise and Unhappy"
71,"Female",32,"Republican","Neither approve nor disapprove","Some college","Unlikely","Real but not Caused by People",1,"Strongly Disagree","Somewhat Agree",30,"No","About Right","TRUE","Wise and Unhappy"
163,"Female",42,"Independent","Strongly Approve","College degree","Unlikely","Real but not Caused by People",0,"Somewhat Agree","Somewhat Agree",3,"No","About Right","TRUE","Unwise and happy"
71,"Male",70,"Independent","Strongly Approve","Some college","Unlikely","Not Real At All",0,"Somewhat Agree","Strongly Agree",4,"No","About Right","FALSE","Unwise and happy"
124,"Female",69,"Democrat","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",0,"No","Too Low","TRUE","Wise and Unhappy"
70,"Male",51,"Independent","Strongly Approve","Some college","Unlikely","Real but not Caused by People",4,"Somewhat Agree","Strongly Agree",0,"Yes","About Right","TRUE","Wise and Unhappy"
48,"Male",64,"Independent","Strongly Approve","Some college","Unlikely","Not Real At All",0,"Strongly Disagree","Neither Agree nor Disagree",3,"Yes","Too High","TRUE","Wise and Unhappy"
73,"Female",49,"Democrat","Strongly disapprove","Graduate degree","Unlikely","Real but not Caused by People",0,"Somewhat Agree","Somewhat Disagree",3,"No","About Right","TRUE","Unwise and happy"
157,"Female",34,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",3,"Somewhat Disagree","Somewhat Agree",8,"Yes","Too High","TRUE","Unwise and happy"
36,"Female",50,"Republican","Neither approve nor disapprove","College degree","Unlikely","Not Real At All",2,"Somewhat Agree","Somewhat Agree",50,"No","Too Low","FALSE","Wise and Unhappy"
74,"Female",65,"Independent","Strongly Approve","Graduate degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Somewhat Agree",5,"No","Too Low","TRUE","Wise and Unhappy"
124,"Male",74,"Independent","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",20,"No","Too Low","TRUE","Wise and Unhappy"
82,"Male",49,"Republican","Strongly Approve","Some college","Unlikely","Real but not Caused by People",0,"Somewhat Agree","Somewhat Agree",1,"No","About Right","TRUE","Unwise and happy"
103,"Female",25,"Republican","Strongly disapprove","Some college","Unlikely","Not Real At All",5,"Somewhat Disagree","Somewhat Disagree",0,"Yes","Too High","TRUE","Unwise and happy"
113,"Female",22,"Democrat","Strongly disapprove","Graduate degree","Likely","Real and Caused by People",0,"Somewhat Disagree","Strongly Disagree",40,"No","About Right","FALSE","Wise and Unhappy"
56,"Female",67,"Democrat","Somewhat disapprove","High school","Likely","Real and Caused by People",3,"Strongly Agree","Strongly Agree",50,"No","About Right","FALSE","Unwise and happy"
94,"Male",25,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",1,"Strongly Agree","Strongly Agree",5,"No","Too Low","TRUE","Wise and Unhappy"
124,"Male",76,"Independent","Strongly disapprove","Other","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",0,"No","Too Low","TRUE","Wise and Unhappy"
67,"Male",30,"Independent","Somewhat Approve","Some college","Unlikely","Real and Caused by People",3,"Somewhat Agree","Strongly Agree",0,"No","About Right","FALSE","Unwise and happy"
140,"Male",21,"Independent","Somewhat disapprove","College degree","Unlikely","Real and Caused by People",2,"Somewhat Disagree","Strongly Agree",60,"No","Too Low","TRUE","Wise and Unhappy"
73,"Female",38,"Republican","Strongly Approve","College degree","Unlikely","Real and Caused by People",2,"Strongly Agree","Strongly Agree",13,"No","About Right","TRUE","Wise and Unhappy"
100,"Female",59,"Republican","Somewhat Approve","Graduate degree","Unlikely","Real and Caused by People",1,"Somewhat Disagree","Strongly Agree",3,"Yes","About Right","FALSE","Unwise and happy"
102,"Male",52,"Republican","Strongly Approve","High school","Unlikely","Not Real At All",3,"Strongly Disagree","Strongly Agree",25,"Yes","About Right","TRUE","Wise and Unhappy"
61,"Female",21,"Democrat","Strongly disapprove","Some college","Likely","Real and Caused by People",2,"Neither Agree nor Disagree","Neither Agree nor Disagree",0,"No","About Right","FALSE","Unwise and happy"
135,"Male",38,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",0,"No","Too Low","TRUE","Wise and Unhappy"
67,"Male",53,"Independent","Somewhat Approve","Some college","Unlikely","Real and Caused by People",2,"Somewhat Agree","Strongly Agree",3,"No","Too Low","FALSE","Wise and Unhappy"
114,"Female",51,"Independent","Somewhat disapprove","College degree","Unlikely","Real and Caused by People",2,"Somewhat Agree","Strongly Agree",2,"No","About Right","FALSE","Unwise and happy"
71,"Male",45,"Independent","Neither approve nor disapprove","Some college","Unlikely","Not Real At All",0,"Neither Agree nor Disagree","Strongly Agree",28,"No","Too High","TRUE","Unwise and happy"
124,"Female",40,"Democrat","Somewhat disapprove","Graduate degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",5,"No","Too Low","TRUE","Unwise and happy"
92,"Male",70,"Independent","Strongly disapprove","College degree","Unlikely","Real and Caused by People",3,"Somewhat Agree","Somewhat Disagree",1,"No","About Right","TRUE","Wise and Unhappy"
60,"Male",58,"Democrat","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",1,"Strongly Agree","Strongly Agree",3,"No","Too Low","FALSE","Wise and Unhappy"
142,"Female",42,"Independent","Somewhat disapprove","College degree","Unlikely","Real and Caused by People",1,"Strongly Agree","Strongly Agree",5,"No","Too Low","TRUE","Unwise and happy"
135,"Female",36,"Democrat","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",1,"Somewhat Agree","Somewhat Agree",3,"Yes","Too High","FALSE","Wise and Unhappy"
71,"Female",40,"Independent","Somewhat Approve","College degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",100,"No","About Right","TRUE","Unwise and happy"
65,"Female",24,"Independent","Somewhat disapprove","College degree","Unlikely","Real and Caused by People",2,"Somewhat Agree","Strongly Agree",10,"Yes","Too Low","FALSE","Unwise and happy"
109,"Male",75,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",6,"No","Too Low","FALSE","Wise and Unhappy"
54,"Female",68,"Republican","Somewhat Approve","Some college","Likely","Real but not Caused by People",0,"Somewhat Agree","Strongly Disagree",250,"No","About Right","TRUE","Unwise and happy"
132,"Male",57,"Independent","Strongly Approve","College degree","Unlikely","Real but not Caused by People",0,"Somewhat Agree","Strongly Agree",4,"No","About Right","FALSE","Unwise and happy"
48,"Male",64,"Republican","Strongly Approve","Graduate degree","Unlikely","Not Real At All",3,"Somewhat Agree","Somewhat Agree",0,"Yes","About Right","FALSE","Wise and Unhappy"
92,"Female",56,"Independent","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",12,"Yes","Too Low","FALSE","Wise and Unhappy"
25,"Female",33,"Democrat","Somewhat disapprove","Graduate degree","Unlikely","Real but not Caused by People",1,"Neither Agree nor Disagree","Strongly Agree",12,"No","About Right","TRUE","Unwise and happy"
22,"Female",40,"Democrat","Somewhat Approve","Some college","Unlikely","Real and Caused by People",5,"Strongly Agree","Strongly Agree",5,"Yes","Too Low","TRUE","Unwise and happy"
57,"Female",57,"Republican","Strongly Approve","Some college","Unlikely","Real but not Caused by People",1,"Somewhat Agree","Strongly Agree",56,"Yes","Too High","FALSE","Unwise and happy"
170,"Male",63,"Independent","Somewhat disapprove","College degree","Unlikely","Real but not Caused by People",0,"Somewhat Disagree","Somewhat Agree",3,"No","About Right","TRUE","Wise and Unhappy"
92,"Female",57,"Independent","Somewhat Approve","Some college","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",52,"No","Too Low","TRUE","Unwise and happy"
91,"Female",48,"Independent","Somewhat Approve","College degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",12,"Yes","About Right","FALSE","Wise and Unhappy"
10,"Female",55,"Independent","Neither approve nor disapprove","College degree","Unlikely","Real and Caused by People",4,"Somewhat Agree","Somewhat Agree",6,"No","Too Low","TRUE","Wise and Unhappy"
48,"Female",60,"Independent","Strongly Approve","Some college","Unlikely","Not Real At All",0,"Somewhat Agree","Strongly Agree",40,"Yes","Too High","TRUE","Wise and Unhappy"
105,"Female",59,"Independent","Strongly Approve","High school","Likely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",0,"Yes","About Right","TRUE","Unwise and happy"
52,"Male",51,"Democrat","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",1,"Strongly Agree","Strongly Agree",4,"Yes","Too Low","TRUE","Wise and Unhappy"
90,"Female",64,"Republican","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",3,"Yes","Too Low","TRUE","Wise and Unhappy"
39,"Female",75,"Democrat","Strongly disapprove","High school","Unlikely","Real and Caused by People",0,"Strongly Disagree","Strongly Disagree",0,"No","Too High","TRUE","Unwise and happy"
120,"Male",53,"Democrat","Strongly disapprove","High school","Likely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",2,"Yes","About Right","TRUE","Unwise and happy"
34,"Female",65,"Republican","Strongly Approve","High school","Unlikely","Real but not Caused by People",1,"Somewhat Disagree","Strongly Agree",0,"No","Too High","TRUE","Unwise and happy"
180,"Female",40,"Republican","Strongly Approve","College degree","Likely","Not Real At All",0,"Somewhat Disagree","Somewhat Agree",0,"No","Too High","TRUE","Wise and Unhappy"
150,"Male",45,"Republican","Somewhat Approve","College degree","Unlikely","Not Real At All",0,"Somewhat Disagree","Strongly Agree",0,"No","Too High","TRUE","Unwise and happy"
164,"Female",26,"Democrat","Strongly disapprove","High school","Unlikely","Real and Caused by People",1,"Strongly Agree","Strongly Agree",15,"No","Too Low","FALSE","Wise and Unhappy"
83,"Male",64,"Independent","Somewhat Approve","College degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",4,"No","About Right","TRUE","Unwise and happy"
386,"Other",36,"Independent","Strongly Approve","Graduate degree","Unlikely","Not Real At All",0,"Somewhat Disagree","Strongly Agree",5,"No","About Right","FALSE","Unwise and happy"
79,"Male",60,"Independent","Strongly disapprove","Some college","Unlikely","Real and Caused by People",5,"Strongly Agree","Somewhat Agree",3,"Yes","About Right","TRUE","Unwise and happy"
32,"Male",64,"Independent","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",6,"No","Too Low","FALSE","Unwise and happy"
327,"Female",55,"Independent","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",2,"No","Too Low","TRUE","Wise and Unhappy"
62,"Female",62,"Republican","Strongly Approve","College degree","Unlikely","Real but not Caused by People",0,"Somewhat Disagree","Strongly Agree",5,"No","Too Low","TRUE","Wise and Unhappy"
180,"Female",64,"Republican","Somewhat Approve","Some college","Unlikely","Real but not Caused by People",0,"Somewhat Agree","Strongly Agree",1,"Yes","About Right","TRUE","Unwise and happy"
70,"Female",49,"Independent","Strongly disapprove","Some college","Unlikely","Real but not Caused by People",4,"Strongly Agree","Strongly Agree",0,"Yes","About Right","TRUE","Unwise and happy"
103,"Female",58,"Republican","Strongly Approve","Some college","Unlikely","Not Real At All",0,"Somewhat Disagree","Strongly Disagree",50,"Yes","About Right","TRUE","Wise and Unhappy"
20,"Female",60,"Republican","Strongly Approve","High school","Likely","Real and Caused by People",4,"Somewhat Agree","Strongly Agree",0,"Yes","About Right","TRUE","Unwise and happy"
57,"Male",47,"Independent","Somewhat Approve","Graduate degree","Likely","Real and Caused by People",1,"Strongly Agree","Strongly Agree",5,"No","Too Low","FALSE","Unwise and happy"
90,"Female",55,"Independent","Strongly Approve","College degree","Unlikely","Not Real At All",2,"Somewhat Disagree","Somewhat Disagree",8,"No","Too High","TRUE","Unwise and happy"
78,"Female",58,"Democrat","Strongly disapprove","Other","Unlikely","Real and Caused by People",3,"Strongly Disagree","Somewhat Agree",120,"No","Too Low","FALSE","Wise and Unhappy"
132,"Female",61,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Somewhat Agree",6,"No","Too Low","FALSE","Wise and Unhappy"
73,"Male",61,"Republican","Neither approve nor disapprove","Graduate degree","Unlikely","Real and Caused by People",3,"Strongly Agree","Strongly Agree",20,"No","Too High","FALSE","Wise and Unhappy"
42,"Female",57,"Republican","Somewhat Approve","Graduate degree","Unlikely","Not Real At All",0,"Somewhat Agree","Strongly Agree",30,"Yes","About Right","TRUE","Unwise and happy"
21,"Female",69,"Democrat","Strongly disapprove","High school","Likely","Real but not Caused by People",0,"Somewhat Disagree","Somewhat Disagree",2,"No","About Right","FALSE","Unwise and happy"
163,"Male",58,"Independent","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",12,"No","Too Low","TRUE","Wise and Unhappy"
25,"Female",63,"Independent","Strongly Approve","High school","Unlikely","Real and Caused by People",2,"Strongly Agree","Strongly Agree",4,"Yes","Too Low","TRUE","Wise and Unhappy"
92,"Female",66,"Republican","Strongly Approve","High school","Likely","Not Real At All",2,"Strongly Disagree","Strongly Disagree",2,"Yes","Too High","TRUE","Unwise and happy"
88,"Female",44,"Independent","Strongly disapprove","High school","Unlikely","Real but not Caused by People",5,"Strongly Agree","Strongly Agree",0,"Yes","Too Low","TRUE","Unwise and happy"
22,"Male",70,"Independent","Somewhat Approve","Graduate degree","Unlikely","Not Real At All",0,"Strongly Agree","Strongly Agree",6,"No","About Right","TRUE","Wise and Unhappy"
43,"Male",63,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Somewhat Disagree",5,"No","About Right","FALSE","Unwise and happy"
90,"Male",60,"Republican","Strongly Approve","College degree","Unlikely","Not Real At All",2,"Strongly Disagree","Somewhat Agree",15,"No","About Right","TRUE","Wise and Unhappy"
47,"Female",60,"Independent","Strongly disapprove","High school","Unlikely","Real and Caused by People",2,"Somewhat Disagree","Strongly Agree",6,"Yes","Too Low","FALSE","Unwise and happy"
120,"Male",52,"Independent","Somewhat Approve","Graduate degree","Unlikely","Real but not Caused by People",3,"Strongly Disagree","Somewhat Agree",8,"No","About Right","TRUE","Wise and Unhappy"
10,"Female",38,"Independent","Strongly Approve","High school","Unlikely","Real and Caused by People",0,"Somewhat Disagree","Strongly Agree",4,"Yes","Too Low","TRUE","Unwise and happy"
10,"Female",61,"Independent","Strongly disapprove","Some college","Likely","Real and Caused by People",4,"Somewhat Disagree","Strongly Disagree",10,"Yes","Too High","FALSE","Unwise and happy"
55,"Female",62,"Independent","Strongly Approve","High school","Likely","Real and Caused by People",4,"Somewhat Agree","Somewhat Agree",10,"Yes","About Right","TRUE","Unwise and happy"
113,"Male",40,"Independent","Strongly Approve","Graduate degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",0,"No","About Right","FALSE","Unwise and happy"
137,"Female",40,"Republican","Strongly Approve","College degree","Unlikely","Real and Caused by People",0,"Strongly Disagree","Strongly Agree",15,"Yes","About Right","FALSE","Wise and Unhappy"
9,"Female",61,"Republican","Somewhat Approve","College degree","Unlikely","Real but not Caused by People",3,"Somewhat Agree","Strongly Agree",25,"Yes","Too Low","TRUE","Wise and Unhappy"
37,"Female",68,"Democrat","Strongly disapprove","High school","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",1,"No","About Right","TRUE","Unwise and happy"
39,"Female",32,"Democrat","Strongly disapprove","Some college","Unlikely","Real and Caused by People",1,"Somewhat Agree","Strongly Agree",30,"No","Too Low","FALSE","Unwise and happy"
13,"Female",55,"Republican","Strongly Approve","Some college","Unlikely","Real but not Caused by People",2,"Somewhat Agree","Somewhat Agree",0,"Yes","About Right","TRUE","Unwise and happy"
47,"Female",58,"Republican","Somewhat Approve","High school","Likely","Real and Caused by People",0,"Somewhat Disagree","Somewhat Disagree",0,"No","About Right","TRUE","Unwise and happy"
72,"Male",60,"Independent","Strongly Approve","Some college","Unlikely","Not Real At All",1,"Somewhat Disagree","Somewhat Agree",40,"No","About Right","FALSE","Wise and Unhappy"
37,"Male",58,"Independent","Strongly Approve","College degree","Likely","Not Real At All",3,"Somewhat Agree","Strongly Agree",60,"Yes","About Right","TRUE","Unwise and happy"
69,"Male",55,"Independent","Strongly Approve","Some college","Unlikely","Not Real At All",4,"Strongly Disagree","Strongly Agree",7,"No","Too High","TRUE","Wise and Unhappy"
208,"Male",55,"Independent","Strongly Approve","Graduate degree","Unlikely","Not Real At All",4,"Somewhat Disagree","Strongly Agree",10,"No","About Right","TRUE","Unwise and happy"
75,"Female",59,"Republican","Strongly Approve","Some college","Unlikely","Real and Caused by People",4,"Strongly Agree","Strongly Agree",5,"Yes","About Right","TRUE","Wise and Unhappy"
30,"Female",57,"Democrat","Somewhat disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",17,"No","Too Low","TRUE","Wise and Unhappy"
23,"Male",62,"Democrat","Strongly disapprove","High school","Likely","Real and Caused by People",3,"Strongly Agree","Strongly Agree",5,"No","About Right","FALSE","Unwise and happy"
8,"Male",34,"Independent","Strongly disapprove","Some college","Unlikely","Real and Caused by People",0,"Strongly Disagree","Strongly Agree",3,"No","Too Low","TRUE","Unwise and happy"
114,"Male",40,"Republican","Somewhat Approve","Graduate degree","Unlikely","Real but not Caused by People",0,"Strongly Agree","Strongly Agree",150,"No","About Right","FALSE","Wise and Unhappy"
112,"Female",33,"Democrat","Strongly disapprove","High school","Unlikely","Real and Caused by People",2,"Strongly Agree","Somewhat Disagree",0,"Yes","Too Low","TRUE","Unwise and happy"
129,"Female",45,"Democrat","Strongly disapprove","Some college","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",6,"Yes","About Right","TRUE","Unwise and happy"
94,"Male",51,"Democrat","Strongly disapprove","High school","Unlikely","Real and Caused by People",1,"Strongly Agree","Strongly Agree",10,"No","Too Low","TRUE","Wise and Unhappy"
129,"Male",63,"Republican","Strongly Approve","Graduate degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Somewhat Disagree",10,"No","About Right","FALSE","Unwise and happy"
177,"Male",63,"Republican","Strongly Approve","Some college","Unlikely","Not Real At All",0,"Strongly Disagree","Strongly Agree",2,"Yes","About Right","TRUE","Unwise and happy"
30,"Female",62,"Democrat","Strongly disapprove","Some college","Likely","Real and Caused by People",0,"Strongly Disagree","Strongly Disagree",100,"Yes","Too High","FALSE","Wise and Unhappy"
12,"Male",35,"Independent","Somewhat Approve","College degree","Likely","Real and Caused by People",2,"Neither Agree nor Disagree","Somewhat Agree",4,"No","Too Low","TRUE","Unwise and happy"
135,"Male",57,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",3,"No","Too Low","TRUE","Wise and Unhappy"
87,"Male",50,"Independent","Somewhat Approve","High school","Unlikely","Not Real At All",1,"Somewhat Agree","Somewhat Disagree",6,"Yes","Too Low","TRUE","Unwise and happy"
52,"Male",65,"Independent","Somewhat disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",2,"No","Too Low","TRUE","Wise and Unhappy"
86,"Male",55,"Democrat","Strongly disapprove","High school","Unlikely","Real and Caused by People",3,"Strongly Agree","Strongly Agree",10,"No","Too Low","TRUE","Wise and Unhappy"
93,"Female",51,"Independent","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",5,"Strongly Agree","Strongly Agree",3,"Yes","Too Low","TRUE","Unwise and happy"
183,"Female",80,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",10,"No","About Right","FALSE","Wise and Unhappy"
169,"Female",61,"Independent","Strongly Approve","College degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Somewhat Agree",5,"No","About Right","TRUE","Unwise and happy"
13,"Other",22,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",5,"Strongly Agree","Somewhat Agree",6,"Yes","About Right","TRUE","Unwise and happy"
102,"Female",61,"Democrat","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",8,"Yes","About Right","FALSE","Wise and Unhappy"
71,"Male",60,"Independent","Neither approve nor disapprove","Some college","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",4,"No","Too Low","FALSE","Unwise and happy"
101,"Male",54,"Republican","Strongly Approve","College degree","Unlikely","Not Real At All",0,"Somewhat Agree","Strongly Agree",12,"No","Too Low","TRUE","Unwise and happy"
198,"Female",54,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",1,"Strongly Agree","Somewhat Agree",10,"Yes","Too Low","FALSE","Unwise and happy"
153,"Female",60,"Republican","Somewhat Approve","College degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",3,"Yes","About Right","TRUE","Unwise and happy"
43,"Male",56,"Democrat","Strongly disapprove","High school","Likely","Real and Caused by People",4,"Strongly Disagree","Strongly Agree",20,"No","About Right","TRUE","Unwise and happy"
5,"Male",64,"Democrat","Somewhat disapprove","High school","Unlikely","Not Real At All",2,"Somewhat Disagree","Somewhat Disagree",6,"No","About Right","FALSE","Unwise and happy"
61,"Female",29,"Democrat","Strongly disapprove","College degree","Likely","Real and Caused by People",0,"Somewhat Disagree","Strongly Disagree",0,"No","Too High","TRUE","Wise and Unhappy"
42,"Female",20,"Democrat","Strongly disapprove","Some college","Unlikely","Real and Caused by People",4,"Strongly Disagree","Strongly Agree",15,"Yes","Too High","FALSE","Wise and Unhappy"
65,"Male",28,"Democrat","Somewhat Approve","Some college","Unlikely","Real but not Caused by People",0,"Somewhat Agree","Somewhat Disagree",100,"Yes","About Right","TRUE","Unwise and happy"
203,"Male",50,"Republican","Somewhat Approve","Graduate degree","Unlikely","Real but not Caused by People",0,"Somewhat Agree","Somewhat Agree",70,"No","Too High","FALSE","Unwise and happy"
168,"Female",58,"Independent","Strongly disapprove","Other","Likely","Real and Caused by People",0,"Somewhat Agree","Somewhat Agree",4,"Yes","About Right","FALSE","Unwise and happy"
130,"Female",36,"Independent","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",4,"Strongly Agree","Strongly Agree",20,"Yes","Too Low","FALSE","Unwise and happy"
60,"Male",43,"Democrat","Strongly disapprove","High school","Unlikely","Not Real At All",5,"Strongly Disagree","Strongly Agree",0,"No","About Right","TRUE","Unwise and happy"
159,"Female",63,"Republican","Somewhat Approve","College degree","Unlikely","Real and Caused by People",2,"Strongly Agree","Strongly Agree",4,"Yes","About Right","TRUE","Wise and Unhappy"
98,"Male",45,"Independent","Somewhat Approve","College degree","Unlikely","Real and Caused by People",2,"Somewhat Agree","Somewhat Agree",2,"Yes","Too Low","TRUE","Wise and Unhappy"
101,"Female",78,"Independent","Strongly disapprove","Some college","Likely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",100,"Yes","Too Low","FALSE","Wise and Unhappy"
45,"Male",18,"Independent","Strongly disapprove","High school","Likely","Real and Caused by People",3,"Somewhat Agree","Somewhat Agree",3,"No","About Right","TRUE","Wise and Unhappy"
65,"Female",68,"Independent","Somewhat Approve","Graduate degree","Unlikely","Not Real At All",2,"Somewhat Agree","Strongly Agree",30,"No","About Right","FALSE","Unwise and happy"
105,"Female",64,"Republican","Strongly Approve","Graduate degree","Unlikely","Real but not Caused by People",3,"Somewhat Agree","Somewhat Agree",15,"No","About Right","TRUE","Unwise and happy"
90,"Male",71,"Republican","Strongly Approve","College degree","Unlikely","Not Real At All",4,"Strongly Disagree","Strongly Agree",4,"No","Too High","FALSE","Unwise and happy"
74,"Female",66,"Democrat","Strongly disapprove","Some college","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",5,"Yes","Too Low","FALSE","Wise and Unhappy"
87,"Male",31,"Independent","Somewhat Approve","High school","Unlikely","Not Real At All",3,"Somewhat Disagree","Somewhat Agree",1,"Yes","Too High","TRUE","Wise and Unhappy"
91,"Male",60,"Republican","Strongly Approve","College degree","Unlikely","Real but not Caused by People",0,"Somewhat Agree","Strongly Agree",5,"No","About Right","FALSE","Wise and Unhappy"
62,"Male",39,"Independent","Strongly Approve","Graduate degree","Unlikely","Not Real At All",1,"Strongly Disagree","Strongly Disagree",1,"Yes","About Right","TRUE","Unwise and happy"
101,"Male",67,"Independent","Somewhat disapprove","College degree","Unlikely","Real and Caused by People",2,"Strongly Agree","Strongly Disagree",2,"No","Too Low","TRUE","Unwise and happy"
72,"Male",20,"Independent","Somewhat Approve","Some college","Unlikely","Real but not Caused by People",1,"Somewhat Agree","Somewhat Agree",25,"No","About Right","FALSE","Wise and Unhappy"
135,"Female",57,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",5,"No","Too Low","FALSE","Wise and Unhappy"
77,"Male",29,"Independent","Strongly Approve","High school","Unlikely","Real but not Caused by People",0,"Strongly Disagree","Strongly Agree",0,"Yes","About Right","TRUE","Unwise and happy"
