Income,Gender,Age,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,What is your marital status?,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",Do you believe in ghosts?,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be wise and unhappy, or unwise and happy?"
,Female,59,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,No,Too Low,TRUE,Wise and Unhappy
,Female,25,DK/REF,Strongly disapprove,High school,Single,Likely,Real and Caused by People,3,Strongly Agree,Somewhat Agree,50,Yes,About Right,TRUE,Wise and Unhappy
,Female,57,Republican,Somewhat Approve,Some college,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,60,Yes,Too Low,TRUE,Unwise and happy
,Male,72,Independent,Strongly Approve,High school,Widowed,Unlikely,Real and Caused by People,0,Strongly Disagree,Strongly Agree,20,No,About Right,FALSE,Unwise and happy
,Male,66,DK/REF,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,3,Yes,About Right,TRUE,DK/REF
,Male,49,Independent,Strongly disapprove,Some college,Divorced,Likely,Real and Caused by People,1,Strongly Agree,Strongly Agree,20,No,Too Low,FALSE,Wise and Unhappy
,Male,44,DK/REF,Neither approve nor disapprove,High school,Single,Unlikely,DK/REF,5,Neither Agree nor Disagree,Somewhat Agree,,No,Too Low,FALSE,Wise and Unhappy
,Male,58,Republican,Strongly Approve,High school,Married,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,0,No,About Right,FALSE,Unwise and happy
,Male,55,Democrat,Strongly disapprove,High school,Single,Likely,Real and Caused by People,3,Strongly Agree,Strongly Agree,15,No,Too Low,TRUE,Unwise and happy
,Male,42,Republican,Somewhat Approve,High school,In a relationship,Unlikely,Not Real At All,2,Strongly Agree,Strongly Agree,2,Yes,About Right,TRUE,Unwise and happy
,Other,34,Independent,DK/REF,Graduate degree,DK/REF,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,30,No,DK/REF,FALSE,Unwise and happy
,Female,47,Independent,Strongly Approve,High school,In a relationship,Unlikely,DK/REF,3,Strongly Disagree,Somewhat Agree,0,No,Too High,TRUE,Unwise and happy
,Female,38,Democrat,DK/REF,College degree,Single,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,0,Yes,About Right,DK/REF,Wise and Unhappy
,Male,31,Democrat,Somewhat disapprove,High school,Single,Unlikely,Real but not Caused by People,3,Somewhat Disagree,Strongly Agree,2,Yes,Too Low,TRUE,Unwise and happy
,Male,49,Democrat,Strongly Approve,Some college,Married,Likely,Real but not Caused by People,0,Strongly Agree,Somewhat Disagree,10,No,About Right,TRUE,Wise and Unhappy
,Male,52,DK/REF,Neither approve nor disapprove,Some college,Single,Likely,Not Real At All,5,Strongly Disagree,Somewhat Agree,2,No,Too High,TRUE,Unwise and happy
,Female,63,Independent,Strongly disapprove,Graduate degree,Single,Unlikely,DK/REF,0,Strongly Agree,Strongly Agree,50,No,Too Low,FALSE,Wise and Unhappy
,Male,26,Democrat,Somewhat disapprove,High school,In a relationship,Likely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,50,Yes,About Right,TRUE,Unwise and happy
,Male,43,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,No,Too Low,FALSE,Unwise and happy
,Male,19,Independent,Somewhat disapprove,Some college,Single,DK/REF,Real and Caused by People,1,Somewhat Agree,Strongly Agree,5,No,Too Low,TRUE,Wise and Unhappy
,Male,22,DK/REF,DK/REF,DK/REF,Single,Unlikely,Not Real At All,,Strongly Disagree,Strongly Disagree,0,No,DK/REF,DK/REF,Wise and Unhappy
,Male,39,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,3,Strongly Agree,Somewhat Agree,5,No,About Right,FALSE,Wise and Unhappy
,Male,65,Independent,Somewhat Approve,Some college,Married,Unlikely,Not Real At All,0,Strongly Disagree,Somewhat Agree,0,Yes,About Right,TRUE,Wise and Unhappy
,Male,35,DK/REF,DK/REF,Graduate degree,Married,Unlikely,DK/REF,,DK/REF,DK/REF,8,Yes,DK/REF,TRUE,DK/REF
,Male,40,DK/REF,DK/REF,College degree,Married,Unlikely,Real and Caused by People,,DK/REF,Strongly Agree,10,No,Too High,TRUE,Unwise and happy
77000,Female,18,DK/REF,DK/REF,Some college,Single,Unlikely,Real but not Caused by People,2,Somewhat Agree,Strongly Agree,25,No,About Right,FALSE,Wise and Unhappy
112000,Female,59,Democrat,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,2,No,DK/REF,FALSE,Unwise and happy
71000,Female,58,DK/REF,DK/REF,Some college,Single,Unlikely,Real and Caused by People,0,DK/REF,Strongly Agree,3,No,DK/REF,TRUE,Wise and Unhappy
52000,Female,61,Independent,Somewhat disapprove,Some college,Widowed,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,2,Yes,DK/REF,TRUE,Wise and Unhappy
22000,Female,64,Independent,Strongly disapprove,Some college,Divorced,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,2,DK/REF,About Right,TRUE,Wise and Unhappy
136000,Female,64,Republican,DK/REF,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,DK/REF,TRUE,DK/REF
167000,Male,65,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,DK/REF,12,No,Too Low,TRUE,DK/REF
76000,Male,60,Independent,Strongly Approve,Graduate degree,Divorced,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Agree,150,Yes,Too High,FALSE,DK/REF
32000,Female,60,Democrat,Strongly disapprove,College degree,In a relationship,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,6,No,About Right,TRUE,Wise and Unhappy
110000,Female,44,Republican,Somewhat Approve,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Disagree,Strongly Agree,3,No,About Right,TRUE,Unwise and happy
80000,Female,22,DK/REF,DK/REF,College degree,In a relationship,Unlikely,DK/REF,0,Somewhat Agree,Strongly Agree,20,Yes,About Right,TRUE,DK/REF
114000,Male,56,Independent,Strongly Approve,Graduate degree,Married,DK/REF,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,2,No,About Right,FALSE,Wise and Unhappy
236000,Male,52,Independent,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,6,DK/REF,Too Low,FALSE,Wise and Unhappy
48000,Male,64,Democrat,Strongly disapprove,High school,Married,Unlikely,Real and Caused by People,,Strongly Agree,Strongly Agree,,No,About Right,DK/REF,Wise and Unhappy
25000,Female,45,Democrat,Strongly disapprove,High school,Single,Unlikely,Real and Caused by People,0,Somewhat Disagree,Strongly Disagree,2,Yes,DK/REF,TRUE,DK/REF
143000,Male,52,DK/REF,Strongly Approve,Graduate degree,DK/REF,Likely,DK/REF,5,DK/REF,Strongly Agree,20,No,Too Low,TRUE,Wise and Unhappy
17000,Female,63,Independent,Strongly disapprove,Some college,Divorced,Likely,DK/REF,0,DK/REF,Strongly Agree,10,No,DK/REF,TRUE,Unwise and happy
138000,Male,49,Democrat,Somewhat Approve,College degree,Married,Unlikely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,3,No,Too Low,TRUE,Wise and Unhappy
100000,Male,19,Independent,Strongly disapprove,Some college,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,4,No,DK/REF,DK/REF,Wise and Unhappy
104000,Female,70,Democrat,Strongly disapprove,College degree,Single,Unlikely,Real and Caused by People,5,Strongly Agree,Strongly Agree,60,Yes,Too Low,FALSE,Wise and Unhappy
85000,Female,60,Democrat,Strongly disapprove,Graduate degree,Single,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,50,No,Too High,TRUE,DK/REF
202000,Male,40,Independent,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,15,No,Too Low,FALSE,Wise and Unhappy
41000,Female,41,Independent,Neither approve nor disapprove,College degree,Married,Unlikely,Real and Caused by People,5,Strongly Agree,Strongly Agree,7,Yes,Too Low,TRUE,Wise and Unhappy
65000,Female,50,Independent,DK/REF,Some college,Married,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,0,No,Too Low,TRUE,Unwise and happy
147000,Male,64,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,3,Somewhat Agree,Strongly Agree,3,No,Too Low,TRUE,Wise and Unhappy
19000,Male,83,Republican,Strongly Approve,High school,Widowed,DK/REF,Real and Caused by People,,DK/REF,DK/REF,3,Yes,Too Low,TRUE,Unwise and happy
97000,Female,53,Independent,Strongly Approve,College degree,Married,Unlikely,Real and Caused by People,5,Strongly Disagree,Strongly Disagree,1,Yes,About Right,FALSE,Unwise and happy
105000,Male,68,Independent,DK/REF,Graduate degree,Single,Unlikely,Real but not Caused by People,3,Somewhat Disagree,Strongly Disagree,4,Yes,About Right,FALSE,Wise and Unhappy
132000,Male,60,Independent,Strongly disapprove,Some college,Married,DK/REF,Real and Caused by People,0,Strongly Agree,Strongly Agree,6,No,About Right,TRUE,Wise and Unhappy
153000,Female,58,Republican,Strongly Approve,Graduate degree,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Disagree,10,Yes,About Right,TRUE,Unwise and happy
17000,Female,53,Democrat,Somewhat disapprove,Some college,Married,Likely,Real and Caused by People,2,Somewhat Disagree,Somewhat Agree,2,No,Too Low,DK/REF,Unwise and happy
45000,Female,26,Independent,Somewhat disapprove,High school,In a relationship,Likely,Not Real At All,3,Somewhat Agree,Strongly Agree,3,No,About Right,FALSE,Unwise and happy
35000,Male,58,Democrat,Strongly disapprove,High school,In a relationship,Likely,Not Real At All,0,Somewhat Agree,Strongly Disagree,0,Yes,Too High,FALSE,Wise and Unhappy
90000,Female,37,Independent,Strongly disapprove,College degree,Married,Unlikely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,120,No,Too Low,TRUE,Unwise and happy
62000,Male,52,Independent,Strongly Approve,Graduate degree,Married,Unlikely,Not Real At All,1,DK/REF,Strongly Agree,4,No,About Right,TRUE,Wise and Unhappy
71000,Female,56,DK/REF,Strongly disapprove,High school,Married,Likely,Real and Caused by People,2,Strongly Agree,Strongly Agree,3,No,Too Low,TRUE,Unwise and happy
118000,Male,50,Republican,Strongly Approve,Some college,Married,Unlikely,Not Real At All,4,Somewhat Disagree,Strongly Agree,0,No,DK/REF,FALSE,Unwise and happy
159000,Female,47,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,4,Yes,Too Low,FALSE,Unwise and happy
5000,Female,55,Republican,Strongly Approve,High school,In a relationship,Unlikely,Real but not Caused by People,4,Somewhat Agree,Strongly Agree,5,Yes,Too Low,TRUE,Unwise and happy
436000,Male,55,Independent,Somewhat disapprove,College degree,Married,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,3,Yes,Too Low,TRUE,Unwise and happy
97000,Female,61,Republican,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,10,No,Too Low,FALSE,Unwise and happy
22000,Male,64,DK/REF,Strongly disapprove,DK/REF,Widowed,Unlikely,Real and Caused by People,,Somewhat Agree,DK/REF,4,DK/REF,Too Low,FALSE,Unwise and happy
19000,Female,54,Republican,Strongly Approve,Some college,In a relationship,Likely,Real and Caused by People,1,DK/REF,Strongly Disagree,15,Yes,DK/REF,TRUE,Unwise and happy
200000,Female,52,DK/REF,Somewhat disapprove,Some college,Married,Likely,Real but not Caused by People,2,Strongly Agree,Strongly Agree,200,DK/REF,Too Low,FALSE,Wise and Unhappy
51000,Female,71,Republican,Strongly Approve,Some college,Married,Unlikely,Real but not Caused by People,0,Strongly Disagree,Somewhat Disagree,16,Yes,Too High,FALSE,Wise and Unhappy
7000,Female,58,Republican,Strongly Approve,High school,Single,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Agree,3,No,Too High,TRUE,Wise and Unhappy
18000,Female,40,Democrat,Strongly disapprove,Some college,Divorced,Unlikely,Not Real At All,,Strongly Disagree,Strongly Disagree,100,No,Too High,TRUE,Unwise and happy
56000,Female,59,Democrat,Strongly disapprove,High school,Married,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,No,Too Low,TRUE,Wise and Unhappy
140000,Female,42,Democrat,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,225,No,Too Low,FALSE,Wise and Unhappy
31000,Female,38,Independent,Somewhat Approve,College degree,Single,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,20,Yes,Too Low,TRUE,Wise and Unhappy
93000,Female,64,Democrat,Strongly disapprove,Some college,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,5,DK/REF,About Right,DK/REF,Unwise and happy
32000,Female,59,Democrat,Strongly disapprove,Graduate degree,Widowed,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,6,No,Too Low,FALSE,Wise and Unhappy
59000,Female,29,Democrat,Strongly disapprove,Some college,Single,DK/REF,Real and Caused by People,0,DK/REF,Strongly Agree,3,Yes,DK/REF,DK/REF,Unwise and happy
150000,Male,65,Republican,Strongly disapprove,High school,Married,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Agree,2,No,Too High,TRUE,Unwise and happy
132000,Male,52,Republican,Strongly Approve,Some college,Married,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,2,Yes,Too Low,TRUE,Unwise and happy
172000,Male,40,DK/REF,Strongly Approve,High school,Married,Unlikely,Not Real At All,2,Strongly Disagree,Somewhat Agree,13,No,Too High,TRUE,Wise and Unhappy
25000,Female,52,Independent,Strongly disapprove,High school,Divorced,Likely,Not Real At All,0,Somewhat Disagree,Strongly Agree,0,No,Too Low,TRUE,Unwise and happy
31000,Male,56,Democrat,Strongly disapprove,Some college,In a relationship,DK/REF,Real and Caused by People,,Strongly Agree,Strongly Agree,,Yes,Too Low,DK/REF,Unwise and happy
54000,Male,60,Republican,Somewhat Approve,High school,Married,Unlikely,DK/REF,0,DK/REF,Strongly Agree,0,No,About Right,TRUE,Unwise and happy
199000,Male,63,Democrat,Strongly disapprove,Graduate degree,Married,Likely,Real but not Caused by People,,Strongly Agree,Strongly Agree,12,No,Too Low,FALSE,Wise and Unhappy
55000,Female,59,Democrat,Strongly disapprove,College degree,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,Yes,Too Low,TRUE,Wise and Unhappy
44000,Male,56,DK/REF,Somewhat Approve,Graduate degree,Married,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Disagree,20,No,Too High,FALSE,Wise and Unhappy
51000,Male,61,Republican,Strongly Approve,Some college,Married,DK/REF,Real but not Caused by People,2,Neither Agree nor Disagree,Somewhat Agree,17,No,About Right,TRUE,DK/REF
98000,Male,57,Independent,Strongly disapprove,Some college,Married,Unlikely,Real and Caused by People,,Strongly Agree,Strongly Agree,2,No,Too Low,FALSE,Wise and Unhappy
39000,Female,57,Independent,Strongly disapprove,Graduate degree,In a relationship,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Agree,15,No,Too Low,TRUE,Wise and Unhappy
26000,Male,49,Independent,Somewhat Approve,College degree,Married,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,0,No,About Right,FALSE,Unwise and happy
70000,Female,72,Republican,Strongly Approve,High school,Widowed,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Agree,2,DK/REF,About Right,FALSE,DK/REF
174000,Female,68,Democrat,Strongly disapprove,Graduate degree,Married,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,No,About Right,TRUE,Unwise and happy
,Female,60,Republican,Strongly Approve,Graduate degree,Married,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,10,No,Too Low,FALSE,Unwise and happy
,Female,63,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,,Strongly Agree,Somewhat Agree,30,No,About Right,FALSE,Unwise and happy
,Male,46,DK/REF,Strongly Approve,Some college,Married,Unlikely,Not Real At All,1,Somewhat Disagree,Strongly Agree,25,No,Too High,FALSE,DK/REF
,Male,39,Independent,Strongly disapprove,Graduate degree,Single,Unlikely,Real and Caused by People,,Somewhat Disagree,Somewhat Disagree,1000,Yes,Too High,TRUE,Wise and Unhappy
,Male,50,DK/REF,Somewhat Approve,High school,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,0,No,Too High,FALSE,Wise and Unhappy
,Male,88,Independent,Neither approve nor disapprove,College degree,Married,Likely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,0,No,About Right,TRUE,Wise and Unhappy
,Male,31,Republican,Somewhat Approve,College degree,In a relationship,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,4,No,Too Low,FALSE,Unwise and happy
,Male,45,DK/REF,Neither approve nor disapprove,High school,Single,Unlikely,DK/REF,0,DK/REF,Strongly Agree,0,No,Too Low,FALSE,Wise and Unhappy
,Other,30,Democrat,Strongly Approve,High school,Single,Unlikely,DK/REF,,Strongly Agree,Strongly Agree,2,Yes,Too High,DK/REF,Unwise and happy
,Female,64,DK/REF,DK/REF,High school,Married,Unlikely,DK/REF,0,Somewhat Agree,Strongly Agree,20,No,DK/REF,TRUE,Wise and Unhappy
,Female,32,DK/REF,DK/REF,Some college,Single,Unlikely,DK/REF,,DK/REF,Somewhat Agree,30,No,DK/REF,TRUE,Wise and Unhappy
,Female,42,Independent,Strongly Approve,College degree,In a relationship,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,3,No,About Right,TRUE,Unwise and happy
,Male,70,Independent,Strongly Approve,Some college,Married,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,4,No,About Right,FALSE,Unwise and happy
,Female,69,Democrat,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,No,Too Low,TRUE,Wise and Unhappy
,Male,51,Independent,Strongly Approve,Some college,Married,Unlikely,Real but not Caused by People,4,Somewhat Agree,Strongly Agree,0,Yes,About Right,TRUE,Wise and Unhappy
,Male,64,Independent,Strongly Approve,Some college,Married,Unlikely,Not Real At All,0,Strongly Disagree,Neither Agree nor Disagree,3,Yes,Too High,TRUE,Wise and Unhappy
,Female,49,DK/REF,DK/REF,Graduate degree,Divorced,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Disagree,3,No,About Right,TRUE,Unwise and happy
,Female,34,Democrat,Strongly disapprove,College degree,Single,Unlikely,Real and Caused by People,3,Somewhat Disagree,Somewhat Agree,8,Yes,Too High,TRUE,Unwise and happy
,Female,50,Republican,Neither approve nor disapprove,College degree,Married,Unlikely,Not Real At All,,Somewhat Agree,Somewhat Agree,50,No,DK/REF,FALSE,Wise and Unhappy
,Female,65,Independent,Strongly Approve,Graduate degree,Widowed,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,5,No,Too Low,TRUE,Wise and Unhappy
,Male,74,Independent,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,No,Too Low,TRUE,Wise and Unhappy
,Male,49,Republican,Strongly Approve,Some college,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,1,No,About Right,TRUE,Unwise and happy
,Female,25,Republican,Strongly disapprove,Some college,Single,Unlikely,Not Real At All,5,Somewhat Disagree,Somewhat Disagree,0,Yes,Too High,TRUE,Unwise and happy
,Female,22,DK/REF,Strongly disapprove,Graduate degree,Single,Likely,Real and Caused by People,0,Somewhat Disagree,Strongly Disagree,40,No,About Right,FALSE,Wise and Unhappy
,Female,67,Democrat,Somewhat disapprove,High school,Widowed,Likely,Real and Caused by People,3,Strongly Agree,Strongly Agree,50,No,About Right,FALSE,Unwise and happy
,Male,25,Democrat,Strongly disapprove,College degree,Single,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,5,No,Too Low,TRUE,Wise and Unhappy
,Male,76,Independent,Strongly disapprove,Other,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,No,Too Low,TRUE,Wise and Unhappy
,Male,30,Independent,Somewhat Approve,Some college,Married,Unlikely,Real and Caused by People,3,Somewhat Agree,Strongly Agree,0,No,About Right,FALSE,Unwise and happy
,Male,21,Independent,Somewhat disapprove,College degree,In a relationship,Unlikely,Real and Caused by People,2,Somewhat Disagree,Strongly Agree,60,No,Too Low,TRUE,Wise and Unhappy
,Female,38,Republican,Strongly Approve,College degree,Single,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,13,No,About Right,TRUE,Wise and Unhappy
100000,Female,59,Republican,Somewhat Approve,Graduate degree,Married,Unlikely,Real and Caused by People,1,Somewhat Disagree,Strongly Agree,3,Yes,About Right,FALSE,Unwise and happy
,Male,52,Republican,Strongly Approve,High school,In a relationship,Unlikely,Not Real At All,3,Strongly Disagree,Strongly Agree,25,Yes,About Right,TRUE,Wise and Unhappy
,Female,21,Democrat,Strongly disapprove,Some college,Single,Likely,Real and Caused by People,2,Neither Agree nor Disagree,Neither Agree nor Disagree,0,No,About Right,FALSE,Unwise and happy
,Male,38,Democrat,Strongly disapprove,College degree,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,No,Too Low,TRUE,Wise and Unhappy
,Male,53,Independent,Somewhat Approve,Some college,Married,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,3,No,Too Low,FALSE,Wise and Unhappy
,Female,51,Independent,Somewhat disapprove,College degree,In a relationship,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,2,No,About Right,FALSE,Unwise and happy
,Male,45,Independent,Neither approve nor disapprove,Some college,Single,Unlikely,Not Real At All,0,Neither Agree nor Disagree,Strongly Agree,28,No,Too High,TRUE,Unwise and happy
,Female,40,Democrat,Somewhat disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,Too Low,TRUE,Unwise and happy
,Male,70,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Disagree,1,No,About Right,TRUE,Wise and Unhappy
,Male,58,Democrat,Strongly disapprove,Graduate degree,Single,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,3,No,Too Low,FALSE,Wise and Unhappy
,Female,42,Independent,Somewhat disapprove,College degree,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,5,No,Too Low,TRUE,Unwise and happy
,Female,36,Democrat,Strongly disapprove,Graduate degree,In a relationship,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,3,Yes,Too High,FALSE,Wise and Unhappy
,Female,40,Independent,DK/REF,College degree,Married,DK/REF,Real and Caused by People,0,Somewhat Agree,Strongly Agree,100,No,DK/REF,TRUE,Unwise and happy
,Female,24,Independent,DK/REF,College degree,In a relationship,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,10,Yes,Too Low,FALSE,Unwise and happy
,Male,75,Democrat,Strongly disapprove,College degree,Widowed,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,6,No,Too Low,FALSE,Wise and Unhappy
,Female,68,Republican,Somewhat Approve,Some college,Widowed,Likely,Real but not Caused by People,0,Somewhat Agree,Strongly Disagree,250,No,About Right,TRUE,Unwise and happy
132000,Male,57,Independent,Strongly Approve,College degree,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,4,No,About Right,FALSE,Unwise and happy
48000,Male,64,Republican,Strongly Approve,Graduate degree,Married,Unlikely,Not Real At All,3,Somewhat Agree,Somewhat Agree,0,Yes,About Right,FALSE,Wise and Unhappy
92000,Female,56,Independent,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,12,Yes,Too Low,FALSE,Wise and Unhappy
25000,Female,33,Democrat,Somewhat disapprove,Graduate degree,Single,Unlikely,Real but not Caused by People,1,Neither Agree nor Disagree,Strongly Agree,12,No,About Right,TRUE,Unwise and happy
22000,Female,40,DK/REF,Somewhat Approve,Some college,Married,Unlikely,DK/REF,5,Strongly Agree,Strongly Agree,5,Yes,Too Low,TRUE,Unwise and happy
57000,Female,57,Republican,Strongly Approve,Some college,Married,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,56,Yes,Too High,FALSE,Unwise and happy
170000,Male,63,Independent,Somewhat disapprove,College degree,Married,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Agree,3,No,About Right,TRUE,Wise and Unhappy
92000,Female,57,Independent,Somewhat Approve,Some college,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,52,No,Too Low,TRUE,Unwise and happy
91000,Female,48,Independent,Somewhat Approve,College degree,Divorced,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,12,Yes,About Right,FALSE,Wise and Unhappy
10000,Female,55,Independent,Neither approve nor disapprove,College degree,Married,Unlikely,Real and Caused by People,4,Somewhat Agree,Somewhat Agree,6,No,Too Low,TRUE,DK/REF
48000,Female,60,Independent,Strongly Approve,Some college,Married,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,40,Yes,Too High,TRUE,Wise and Unhappy
105000,Female,59,Independent,Strongly Approve,High school,Divorced,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,0,Yes,About Right,TRUE,Unwise and happy
52000,Male,51,Democrat,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,4,Yes,Too Low,TRUE,Wise and Unhappy
90000,Female,64,Republican,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,Yes,Too Low,TRUE,Wise and Unhappy
39000,Female,75,Democrat,Strongly disapprove,High school,Divorced,DK/REF,Real and Caused by People,0,Strongly Disagree,Strongly Disagree,0,No,Too High,TRUE,Unwise and happy
120000,Male,53,Democrat,Strongly disapprove,High school,Married,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,2,Yes,About Right,TRUE,Unwise and happy
34000,Female,65,DK/REF,Strongly Approve,High school,Single,Unlikely,Real but not Caused by People,1,Somewhat Disagree,DK/REF,0,No,Too High,TRUE,Unwise and happy
180000,Female,40,Republican,Strongly Approve,College degree,Married,Likely,Not Real At All,0,Somewhat Disagree,Somewhat Agree,0,No,Too High,TRUE,Wise and Unhappy
150000,Male,45,Republican,Somewhat Approve,College degree,Married,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,0,No,DK/REF,TRUE,Unwise and happy
164000,Female,26,Democrat,Strongly disapprove,High school,Single,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,15,No,Too Low,FALSE,Wise and Unhappy
83000,Male,64,Independent,Somewhat Approve,College degree,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,4,No,About Right,TRUE,Unwise and happy
386000,Other,36,Independent,Strongly Approve,Graduate degree,Married,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,5,DK/REF,DK/REF,FALSE,Unwise and happy
