"PID","age","educ","income","vote","popul","TVnews"
"Independent",43,"College",55,"Clinton",22,7
"Republican",39,"College",55,"Dole",1,0
"Democrat",27,"HS",55,"Clinton",2,2
"Republican",30,"College",55,"Dole",34,4
"Independent",33,"College",55,"Dole",33,2
"Democrat",32,"College",55,"Clinton",10,1
"Republican",31,"College",55,"Dole",290,7
"Independent",27,"College",55,"Clinton",0,2
"Democrat",36,"College",55,"Clinton",76,3
"Independent",45,"College",55,"Clinton",20,7
"Independent",51,"HS",55,"Clinton",0,5
"Republican",36,"College",55,"Dole",0,0
"Independent",47,"College",55,"Dole",0,7
"Democrat",42,"College",55,"Clinton",470,4
"Republican",70,"College",55,"Dole",9,6
"Independent",40,"College",55,"Clinton",0,0
"Democrat",38,"HS",55,"Clinton",0,7
"Independent",29,"HS",55,"Dole",8,0
"Republican",58,"HS",55,"Dole",1,0
"Independent",28,"HS",55,"Clinton",1,7
"Republican",30,"College",55,"Dole",7,1
"Independent",48,"College",55,"Clinton",0,3
"Republican",35,"College",55,"Dole",170,0
"Democrat",38,"HS",55,"Clinton",270,3
"Independent",56,"College",55,"Dole",0,0
"Republican",62,"College",55,"Dole",13,4
"Republican",56,"College",55,"Dole",10,7
"Republican",32,"HS",55,"Dole",22,0
"Democrat",50,"College",55,"Clinton",640,5
"Democrat",45,"College",55,"Clinton",900,3
"Democrat",36,"College",55,"Clinton",22,7
"Republican",49,"College",55,"Dole",62,1
"Republican",31,"College",55,"Dole",110,2
"Independent",33,"College",55,"Clinton",84,4
"Republican",35,"College",55,"Dole",0,1
"Independent",73,"College",55,"Dole",13,2
"Republican",54,"College",55,"Dole",20,7
"Democrat",48,"HS",55,"Clinton",0,3
"Independent",65,"College",55,"Dole",16,3
"Republican",46,"College",55,"Clinton",6,7
"Democrat",45,"College",55,"Clinton",12,0
"Republican",65,"College",55,"Dole",0,7
"Republican",45,"College",55,"Dole",0,0
"Independent",89,"College",55,"Dole",170,7
"Independent",32,"College",55,"Clinton",100,0
"Democrat",38,"College",55,"Clinton",5,4
"Republican",33,"College",55,"Dole",3500,5
"Republican",49,"College",55,"Dole",71,4
"Republican",64,"College",55,"Dole",4,7
"Democrat",55,"College",55,"Clinton",7300,5
"Democrat",56,"College",55,"Clinton",7,0
"Republican",30,"College",55,"Clinton",290,4
"Republican",41,"College",55,"Dole",0,0
"Republican",39,"College",55,"Dole",0,1
"Independent",34,"HS",55,"Clinton",520,7
"Democrat",53,"HS",55,"Clinton",430,5
"Independent",40,"College",55,"Clinton",9,2
"Democrat",48,"College",55,"Clinton",40,0
"Republican",59,"College",55,"Clinton",2,7
"Independent",54,"College",55,"Dole",75,7
"Democrat",41,"College",55,"Clinton",170,0
"Democrat",41,"College",55,"Clinton",170,1
"Independent",63,"College",55,"Clinton",640,5
"Independent",39,"HS",55,"Dole",2800,1
"Independent",46,"HS",55,"Clinton",9,3
"Democrat",55,"HS",55,"Clinton",150,7
"Independent",42,"HS",55,"Dole",0,7
"Independent",58,"HS",55,"Dole",0,7
"Independent",42,"College",55,"Clinton",100,0
"Independent",40,"College",55,"Dole",33,7
"Democrat",56,"College",55,"Dole",310,7
"Independent",37,"College",55,"Clinton",53,1
"Independent",37,"College",55,"Clinton",13,2
"Republican",49,"College",55,"Dole",290,6
"Republican",63,"College",55,"Dole",310,7
"Republican",30,"College",55,"Dole",0,7
"Independent",62,"College",55,"Dole",54,7
"Democrat",30,"College",55,"Clinton",1600,0
"Republican",34,"College",55,"Dole",14,0
"Republican",41,"College",55,"Dole",25,7
"Republican",43,"HS",55,"Dole",45,0
"Independent",33,"College",55,"Clinton",20,2
"Republican",67,"College",55,"Dole",18,6
"Democrat",55,"College",55,"Dole",740,7
"Democrat",33,"College",55,"Clinton",9,6
"Republican",61,"College",55,"Dole",5,0
"Independent",45,"HS",55,"Clinton",7300,7
"Democrat",34,"HS",55,"Clinton",81,7
"Republican",35,"HS",55,"Dole",190,1
"Independent",50,"College",55,"Clinton",51,1
"Democrat",38,"College",55,"Clinton",7300,7
"Republican",56,"HS",55,"Dole",350,0
"Republican",31,"HS",55,"Dole",27,2
"Republican",40,"College",55,"Dole",33,5
"Democrat",44,"HS",55,"Clinton",50,4
"Independent",39,"College",55,"Clinton",1,7
"Democrat",45,"HS",55,"Clinton",11,1
"Democrat",72,"College",55,"Clinton",51,5
"Democrat",44,"College",55,"Clinton",160,7
"Democrat",61,"College",67.5,"Clinton",16,7
"Republican",34,"College",67.5,"Dole",110,6
"Republican",61,"College",67.5,"Dole",110,4
"Democrat",67,"College",67.5,"Clinton",13,6
"Republican",38,"College",67.5,"Dole",220,7
"Democrat",50,"College",67.5,"Clinton",470,7
"Republican",62,"College",67.5,"Dole",22,6
"Republican",36,"College",67.5,"Dole",9,2
"Independent",50,"College",67.5,"Dole",22,3
"Democrat",30,"College",67.5,"Clinton",190,2
"Republican",59,"College",67.5,"Dole",100,5
"Democrat",62,"College",67.5,"Clinton",14,7
"Independent",40,"College",67.5,"Clinton",0,7
"Republican",30,"College",67.5,"Dole",180,1
"Independent",47,"HS",67.5,"Clinton",3,6
"Democrat",41,"College",67.5,"Clinton",51,2
"Republican",35,"College",67.5,"Dole",9,2
"Republican",45,"College",67.5,"Dole",0,7
"Independent",34,"College",67.5,"Dole",0,2
"Independent",55,"HS",67.5,"Clinton",71,2
"Independent",37,"College",67.5,"Clinton",290,1
"Independent",61,"College",67.5,"Dole",45,3
"Democrat",62,"HS",67.5,"Clinton",0,3
"Republican",54,"College",67.5,"Dole",26,1
"Democrat",33,"College",67.5,"Clinton",87,3
"Democrat",50,"College",67.5,"Clinton",0,0
"Independent",37,"HS",67.5,"Clinton",630,0
"Independent",44,"HS",67.5,"Dole",50,5
"Independent",78,"HS",67.5,"Clinton",35,7
"Republican",56,"HS",67.5,"Clinton",180,7
"Independent",29,"College",67.5,"Clinton",32,0
"Independent",52,"College",67.5,"Clinton",0,7
"Democrat",31,"HS",67.5,"Clinton",51,1
"Republican",34,"College",67.5,"Dole",40,0
"Republican",31,"College",67.5,"Dole",0,2
"Independent",43,"College",67.5,"Clinton",0,7
"Republican",31,"HS",67.5,"Dole",0,1
"Republican",63,"College",67.5,"Dole",1,6
"Independent",38,"College",67.5,"Clinton",7,2
"Republican",31,"College",67.5,"Dole",0,2
"Democrat",64,"HS",67.5,"Clinton",71,2
"Republican",55,"College",67.5,"Clinton",75,2
"Democrat",41,"HS",67.5,"Clinton",55,1
"Republican",38,"College",67.5,"Dole",290,4
"Republican",28,"College",67.5,"Dole",88,4
"Republican",42,"College",67.5,"Dole",0,7
"Democrat",43,"College",67.5,"Clinton",16,7
"Republican",37,"College",67.5,"Dole",75,1
"Independent",47,"College",67.5,"Clinton",220,1
"Republican",52,"College",67.5,"Dole",3,5
"Republican",32,"College",67.5,"Dole",130,0
"Independent",29,"HS",67.5,"Clinton",0,5
"Independent",56,"HS",67.5,"Dole",110,2
"Republican",63,"College",67.5,"Dole",12,7
"Democrat",35,"College",67.5,"Clinton",180,3
"Independent",36,"College",67.5,"Dole",93,7
"Democrat",75,"College",67.5,"Clinton",170,7
"Democrat",48,"College",67.5,"Clinton",31,5
"Republican",36,"College",67.5,"Dole",62,4
"Independent",34,"College",67.5,"Clinton",30,4
"Democrat",35,"College",67.5,"Clinton",66,7
"Republican",50,"College",67.5,"Dole",3,3
"Republican",39,"College",67.5,"Dole",18,3
"Republican",70,"College",67.5,"Dole",350,5
"Republican",76,"HS",67.5,"Dole",71,7
"Republican",35,"College",67.5,"Dole",3500,5
"Independent",53,"College",67.5,"Dole",0,0
"Independent",46,"College",67.5,"Dole",360,6
"Independent",34,"College",67.5,"Dole",81,2
"Republican",69,"College",67.5,"Clinton",350,5
"Democrat",32,"HS",67.5,"Clinton",190,1
"Republican",50,"HS",67.5,"Dole",0,7
"Republican",35,"College",67.5,"Dole",290,1
"Republican",67,"College",67.5,"Dole",18,0
"Republican",47,"HS",67.5,"Clinton",11,3
"Independent",50,"College",67.5,"Dole",2,2
"Independent",32,"HS",67.5,"Dole",570,0
"Independent",58,"College",67.5,"Clinton",310,3
"Democrat",49,"College",67.5,"Clinton",1,7
"Democrat",43,"College",67.5,"Dole",0,2
"Republican",24,"College",67.5,"Dole",35,1
"Independent",58,"College",67.5,"Clinton",22,7
"Democrat",43,"College",67.5,"Clinton",2,1
"Republican",59,"HS",67.5,"Dole",0,7
"Republican",40,"College",67.5,"Dole",0,3
"Democrat",35,"College",67.5,"Clinton",310,0
"Democrat",48,"College",67.5,"Clinton",470,5
"Republican",40,"HS",67.5,"Dole",0,4
"Democrat",48,"HS",67.5,"Clinton",270,3
"Democrat",47,"College",67.5,"Clinton",110,0
"Democrat",23,"HS",67.5,"Clinton",50,3
"Republican",38,"HS",67.5,"Dole",0,0
"Republican",81,"College",67.5,"Dole",3,7
"Democrat",48,"College",67.5,"Clinton",31,5
"Independent",52,"HS",67.5,"Clinton",22,7
"Independent",24,"College",67.5,"Dole",83,2
"Democrat",21,"College",67.5,"Clinton",9,0
"Republican",70,"College",67.5,"Dole",5,7
"Republican",24,"College",67.5,"Dole",0,7
"Democrat",57,"College",67.5,"Clinton",0,7
"Independent",37,"College",67.5,"Clinton",0,6
"Republican",25,"College",67.5,"Clinton",27,1
"Democrat",33,"HS",67.5,"Clinton",110,1
"Democrat",45,"HS",82.5,"Clinton",0,7
"Republican",42,"College",82.5,"Clinton",0,3
"Independent",47,"College",82.5,"Clinton",350,3
"Republican",51,"College",82.5,"Dole",0,7
"Republican",85,"HS",82.5,"Clinton",5,7
"Independent",32,"College",82.5,"Clinton",15,4
"Independent",31,"College",82.5,"Clinton",35,7
"Independent",23,"College",82.5,"Clinton",0,2
"Democrat",42,"College",82.5,"Clinton",75,3
"Republican",55,"College",82.5,"Dole",0,5
"Republican",45,"College",82.5,"Dole",16,7
"Republican",35,"College",82.5,"Dole",0,1
"Democrat",45,"College",82.5,"Clinton",0,0
"Independent",42,"HS",82.5,"Clinton",0,0
"Republican",37,"College",82.5,"Dole",4,1
"Republican",38,"HS",82.5,"Dole",62,0
"Democrat",47,"College",82.5,"Clinton",0,3
"Independent",32,"College",82.5,"Clinton",4,7
"Republican",35,"College",82.5,"Dole",56,2
"Republican",38,"College",82.5,"Dole",2,6
"Independent",40,"HS",82.5,"Clinton",0,0
"Republican",62,"College",82.5,"Dole",75,7
"Democrat",28,"College",82.5,"Clinton",10,2
"Republican",59,"College",82.5,"Dole",0,6
"Democrat",25,"College",82.5,"Clinton",0,2
"Republican",31,"College",82.5,"Dole",220,2
"Republican",45,"College",82.5,"Dole",0,1
"Republican",42,"College",82.5,"Clinton",75,0
"Democrat",56,"College",82.5,"Clinton",0,3
"Democrat",47,"College",82.5,"Clinton",140,5
"Republican",38,"College",82.5,"Dole",290,1
"Independent",47,"College",82.5,"Clinton",350,7
"Republican",49,"College",82.5,"Dole",55,1
"Independent",29,"College",82.5,"Clinton",31,3
"Democrat",57,"College",82.5,"Clinton",17,7
"Republican",68,"HS",82.5,"Dole",51,4
"Democrat",76,"College",82.5,"Clinton",140,7
"Republican",66,"College",82.5,"Dole",9,4
"Independent",59,"College",82.5,"Dole",0,7
"Independent",37,"College",82.5,"Clinton",640,7
"Republican",38,"College",82.5,"Dole",32,2
"Republican",47,"College",82.5,"Dole",5,7
"Republican",36,"College",82.5,"Dole",8,1
"Democrat",45,"College",82.5,"Clinton",18,0
"Republican",39,"College",82.5,"Dole",0,6
"Democrat",34,"College",82.5,"Clinton",0,1
"Democrat",49,"College",82.5,"Clinton",0,3
"Republican",36,"College",82.5,"Dole",31,2
"Republican",81,"College",82.5,"Dole",350,7
"Independent",29,"College",82.5,"Dole",20,1
"Democrat",45,"College",82.5,"Clinton",70,3
"Republican",21,"College",82.5,"Dole",31,3
"Republican",33,"College",82.5,"Dole",3,7
"Independent",44,"HS",97.5,"Clinton",9,7
"Independent",52,"College",97.5,"Clinton",59,1
"Democrat",38,"College",97.5,"Clinton",27,2
"Independent",44,"College",97.5,"Clinton",51,4
"Republican",87,"College",97.5,"Dole",9,7
"Republican",22,"HS",97.5,"Dole",0,2
"Independent",32,"College",97.5,"Dole",88,0
"Independent",69,"HS",97.5,"Clinton",67,0
"Republican",49,"College",97.5,"Dole",29,2
"Republican",53,"HS",97.5,"Dole",5,0
"Republican",44,"College",97.5,"Dole",0,0
"Republican",34,"College",97.5,"Dole",900,1
"Republican",55,"College",97.5,"Dole",18,1
"Democrat",35,"College",97.5,"Clinton",190,2
"Independent",55,"HS",97.5,"Clinton",2,7
"Republican",27,"College",97.5,"Dole",5,3
"Democrat",26,"College",97.5,"Clinton",56,3
"Republican",54,"College",97.5,"Clinton",75,7
"Republican",42,"College",97.5,"Dole",56,0
"Republican",57,"College",97.5,"Dole",0,5
"Republican",54,"College",97.5,"Dole",0,0
"Republican",55,"College",97.5,"Dole",75,6
"Republican",50,"College",97.5,"Dole",1600,7
"Democrat",57,"College",97.5,"Clinton",15,0
"Independent",46,"College",97.5,"Clinton",19,3
"Republican",53,"College",97.5,"Dole",16,7
"Democrat",32,"College",97.5,"Clinton",42,2
"Independent",53,"College",97.5,"Dole",18,5
"Democrat",39,"College",97.5,"Clinton",0,3
"Independent",47,"College",97.5,"Dole",310,1
"Independent",57,"College",97.5,"Clinton",1600,7
"Republican",49,"College",97.5,"Dole",23,5
"Republican",31,"College",97.5,"Clinton",20,1
"Republican",43,"College",97.5,"Dole",51,5
"Independent",44,"College",97.5,"Dole",0,2
"Democrat",39,"College",97.5,"Clinton",0,4
"Republican",49,"College",97.5,"Dole",0,2
"Independent",72,"College",97.5,"Dole",18,7
"Republican",50,"College",97.5,"Dole",7300,7
"Republican",28,"College",97.5,"Dole",110,1
"Independent",48,"College",97.5,"Dole",0,0
"Democrat",32,"College",97.5,"Clinton",3500,1
"Democrat",63,"College",97.5,"Clinton",720,7
"Republican",36,"College",97.5,"Dole",9,4
"Republican",36,"College",97.5,"Dole",47,7
"Independent",53,"HS",97.5,"Clinton",350,7
"Independent",44,"College",97.5,"Clinton",0,5
"Republican",41,"College",115,"Dole",0,0
"Democrat",56,"College",115,"Clinton",83,0
"Independent",63,"College",115,"Clinton",1,4
"Democrat",52,"College",115,"Clinton",190,7
"Independent",43,"College",115,"Clinton",0,7
"Independent",40,"HS",115,"Clinton",12,7
"Independent",69,"College",115,"Dole",9,5
"Democrat",49,"College",115,"Clinton",23,7
"Independent",65,"College",115,"Clinton",9,1
"Republican",53,"College",115,"Dole",18,5
"Republican",50,"College",115,"Dole",0,5
"Democrat",27,"College",115,"Clinton",12,3
"Republican",44,"College",115,"Dole",0,6
"Democrat",54,"College",115,"Clinton",170,2
"Independent",33,"College",115,"Dole",0,7
"Independent",48,"College",115,"Clinton",9,0
"Republican",54,"College",115,"Dole",23,3
"Republican",56,"HS",115,"Dole",0,0
"Independent",34,"College",115,"Clinton",9,1
"Republican",41,"College",115,"Clinton",290,7
"Republican",40,"College",115,"Dole",1,0
"Republican",55,"College",115,"Dole",350,1
"Republican",38,"College",115,"Dole",20,0
"Republican",40,"College",115,"Dole",0,3
"Republican",46,"College",115,"Dole",23,1
"Democrat",26,"College",115,"Clinton",150,4
"Independent",49,"College",115,"Clinton",31,0
"Republican",51,"College",115,"Dole",0,7
"Independent",46,"College",115,"Clinton",9,2
"Independent",40,"College",115,"Clinton",47,0
"Independent",30,"College",115,"Clinton",900,0
"Independent",45,"College",115,"Clinton",83,3
"Independent",52,"College",115,"Dole",18,7
"Republican",36,"College",115,"Dole",0,0
"Independent",49,"College",115,"Clinton",20,0
"Democrat",38,"College",115,"Clinton",24,7
"Democrat",51,"College",115,"Clinton",18,0
"Democrat",47,"College",115,"Clinton",9,3
"Republican",52,"College",115,"Dole",0,1
"Republican",33,"College",115,"Dole",9,0
"Republican",50,"College",115,"Dole",0,4
"Independent",48,"College",115,"Dole",18,7
"Democrat",36,"College",115,"Clinton",19,3
"Democrat",35,"College",115,"Clinton",31,3
"Independent",34,"College",115,"Clinton",3500,7
"Independent",53,"College",115,"Clinton",0,7
"Independent",33,"College",115,"Clinton",33,0
"Republican",52,"College",115,"Dole",0,1
"Independent",44,"College",115,"Clinton",18,3
"Democrat",48,"College",115,"Clinton",0,0
"Republican",20,"College",115,"Dole",31,3
"Republican",45,"College",115,"Dole",0,5
"Independent",70,"HS",115,"Clinton",59,7
"Independent",39,"HS",115,"Clinton",0,0
"Democrat",40,"College",115,"Dole",7300,7
"Republican",62,"College",115,"Dole",75,4
"Independent",46,"College",115,"Dole",0,7
"Independent",46,"HS",115,"Clinton",27,7
"Republican",56,"College",115,"Dole",1600,7
"Republican",55,"College",115,"Dole",0,7
"Republican",41,"College",115,"Dole",0,7
"Democrat",43,"College",115,"Clinton",7300,1
"Republican",34,"HS",115,"Dole",16,7
"Independent",73,"College",115,"Dole",0,7
"Republican",50,"College",115,"Dole",0,7
"Republican",43,"College",115,"Dole",0,3
"Republican",46,"College",115,"Dole",0,6
"Independent",61,"College",115,"Dole",18,7
