CapShape,CapSurface,CapColor,Bruised,Odor,GillSpace,GillSize,GillColor,StalkShape,StalkAboveRing,StalkBelowRing,Status,ColorAboveRing,ColorBelowRing,RingNumber,RingType,SporeColor,Population,Habitat
x,y,y,t,a,c,b,g,e,s,s,e,w,w,o,p,k,n,m
x,s,w,f,n,w,b,n,t,f,f,e,w,w,o,e,k,a,g
f,y,w,t,p,c,n,n,e,s,s,p,w,w,o,p,k,s,u
f,s,w,f,n,w,b,h,t,s,s,e,w,w,o,e,n,s,g
f,s,w,t,p,c,n,n,e,s,s,p,w,w,o,p,n,s,u
f,s,g,f,n,w,b,h,t,s,s,e,w,w,o,e,k,s,g
f,f,g,f,n,w,b,k,t,f,f,e,w,w,o,e,n,s,g
x,s,w,t,p,c,n,p,e,s,s,p,w,w,o,p,n,s,g
x,s,g,f,n,w,b,p,t,f,f,e,w,w,o,e,k,a,g
x,s,w,t,p,c,n,p,e,s,s,p,w,w,o,p,n,s,u
x,s,g,f,n,w,b,p,t,f,f,e,w,w,o,e,n,s,g
f,s,w,f,n,w,b,p,t,s,s,e,w,w,o,e,k,s,g
f,y,w,t,p,c,n,w,e,s,s,p,w,w,o,p,n,v,g
x,f,w,f,n,w,b,n,t,s,s,e,w,w,o,e,k,a,g
x,s,n,f,n,w,b,h,t,s,s,e,w,w,o,e,k,a,g
x,f,w,f,n,w,b,p,t,f,f,e,w,w,o,e,n,s,g
x,f,w,f,n,w,b,p,t,f,s,e,w,w,o,e,k,a,g
x,y,e,t,n,c,b,u,t,s,s,e,g,g,o,p,k,y,d
f,s,n,t,p,c,n,k,e,s,s,p,w,w,o,p,k,s,u
f,f,g,f,n,w,b,k,t,f,s,e,w,w,o,e,k,s,g
x,y,y,t,a,c,b,w,e,s,y,e,w,w,o,p,k,y,g
x,f,n,f,n,w,b,h,t,s,s,e,w,w,o,e,n,a,g
f,f,n,f,n,w,b,k,t,f,f,e,w,w,o,e,k,a,g
b,s,w,t,l,c,b,g,e,s,s,e,w,w,o,p,k,n,m
f,s,g,f,n,w,b,k,t,s,f,e,w,w,o,e,k,a,g
f,f,w,f,n,w,b,n,t,f,f,e,w,w,o,e,k,a,g
f,f,n,f,n,w,b,h,t,s,s,e,w,w,o,e,n,a,g
f,s,n,t,p,c,n,w,e,s,s,p,w,w,o,p,n,s,u
x,s,n,f,n,w,b,h,t,s,f,e,w,w,o,e,n,a,g
b,y,y,t,a,c,b,w,e,s,s,e,w,w,o,p,k,n,g
f,s,g,f,n,w,b,p,t,s,f,e,w,w,o,e,n,a,g
f,s,n,f,n,w,b,h,t,s,f,e,w,w,o,e,k,s,g
x,f,g,f,n,w,b,h,t,f,s,e,w,w,o,e,n,a,g
f,s,g,f,n,w,b,p,t,s,f,e,w,w,o,e,k,s,g
x,f,n,f,n,w,b,p,t,f,s,e,w,w,o,e,k,a,g
x,f,n,t,n,c,b,p,t,s,s,e,p,g,o,p,n,v,d
b,y,w,t,l,c,b,g,e,s,s,e,w,w,o,p,n,n,m
x,f,g,t,n,c,b,n,t,s,s,e,g,w,o,p,n,v,d
f,y,n,t,p,c,n,p,e,s,s,p,w,w,o,p,k,s,g
x,s,w,f,n,w,b,h,t,s,s,e,w,w,o,e,n,a,g
f,s,n,t,p,c,n,k,e,s,s,p,w,w,o,p,k,v,u
f,s,n,f,n,w,b,n,t,s,f,e,w,w,o,e,n,a,g
f,f,n,f,n,w,b,k,t,s,f,e,w,w,o,e,k,a,g
x,f,w,f,n,w,b,k,t,s,f,e,w,w,o,e,k,a,g
x,f,n,f,n,w,b,n,t,f,s,e,w,w,o,e,n,a,g
f,s,n,f,n,w,b,n,t,f,f,e,w,w,o,e,n,s,g
x,s,y,t,l,c,b,g,e,s,s,e,w,w,o,p,k,s,g
f,s,w,f,n,w,b,k,t,s,f,e,w,w,o,e,k,a,g
x,s,w,f,n,w,b,k,t,f,s,e,w,w,o,e,k,s,g
x,y,n,t,p,c,n,p,e,s,s,p,w,w,o,p,k,v,g
f,f,g,f,n,w,b,n,t,s,f,e,w,w,o,e,k,a,g
f,y,n,t,p,c,n,n,e,s,s,p,w,w,o,p,k,s,g
f,f,w,f,n,w,b,n,t,s,s,e,w,w,o,e,k,a,g
x,f,n,t,n,c,b,p,t,s,s,e,p,w,o,p,k,v,d
x,f,g,f,n,w,b,k,t,s,f,e,w,w,o,e,k,s,g
f,s,n,t,p,c,n,w,e,s,s,p,w,w,o,p,n,v,u
f,s,g,f,n,w,b,h,t,s,f,e,w,w,o,e,k,s,g
x,s,w,t,p,c,n,w,e,s,s,p,w,w,o,p,n,v,u
x,f,n,t,n,c,b,p,t,s,s,e,g,g,o,p,n,v,d
x,f,n,f,n,w,b,p,t,f,s,e,w,w,o,e,n,s,g
x,y,y,t,a,c,b,n,e,s,y,e,w,w,o,p,n,s,p
f,f,w,f,n,w,b,h,t,f,f,e,w,w,o,e,k,s,g
f,s,w,f,n,w,b,p,t,s,f,e,w,w,o,e,n,a,g
x,f,g,f,n,w,b,n,t,f,s,e,w,w,o,e,n,s,g
f,f,g,f,n,w,b,p,t,f,f,e,w,w,o,e,k,s,g
f,f,w,f,n,w,b,n,t,s,f,e,w,w,o,e,n,a,g
x,f,g,f,n,w,b,n,t,f,f,e,w,w,o,e,k,s,g
f,f,g,f,n,w,b,k,t,f,f,e,w,w,o,e,n,a,g
x,f,g,t,n,c,b,w,t,s,s,e,w,w,o,p,n,v,d
x,s,g,f,n,w,b,p,t,f,s,e,w,w,o,e,k,a,g
f,s,g,f,n,w,b,p,t,f,s,e,w,w,o,e,k,s,g
x,y,n,t,l,c,b,w,e,s,y,e,w,w,o,p,n,s,g
x,y,g,t,n,c,b,n,t,s,s,e,p,g,o,p,k,y,d
f,s,g,f,n,w,b,k,t,f,f,e,w,w,o,e,k,a,g
f,f,w,f,n,w,b,k,t,s,f,e,w,w,o,e,n,s,g
f,s,n,f,n,w,b,h,t,f,f,e,w,w,o,e,n,a,g
f,f,w,f,n,w,b,p,t,s,s,e,w,w,o,e,k,s,g
f,f,n,f,n,w,b,n,t,s,f,e,w,w,o,e,k,a,g
f,s,g,f,n,w,b,k,t,s,s,e,w,w,o,e,k,a,g
x,s,n,f,n,w,b,n,t,s,s,e,w,w,o,e,n,s,g
x,f,n,t,n,c,b,p,t,s,s,e,w,w,o,p,n,y,d
x,s,n,f,n,w,b,k,t,f,f,e,w,w,o,e,n,s,g
x,f,n,f,n,w,b,k,t,f,s,e,w,w,o,e,k,a,g
f,s,w,f,n,w,b,p,t,f,f,e,w,w,o,e,n,a,g
x,f,n,f,n,c,n,p,e,s,s,e,w,w,o,p,k,y,u
f,s,w,t,p,c,n,p,e,s,s,p,w,w,o,p,k,s,u
f,s,n,t,p,c,n,p,e,s,s,p,w,w,o,p,n,v,g
x,f,n,t,n,c,b,u,t,s,s,e,w,g,o,p,k,v,d
x,s,w,f,n,w,b,n,t,f,s,e,w,w,o,e,n,a,g
f,f,g,f,n,w,b,k,t,s,s,e,w,w,o,e,n,a,g
x,s,n,f,n,w,b,h,t,s,s,e,w,w,o,e,n,s,g
x,f,n,f,n,w,b,h,t,f,f,e,w,w,o,e,n,s,g
x,s,g,f,n,w,b,h,t,s,s,e,w,w,o,e,k,s,g
f,f,g,f,n,w,b,n,t,f,f,e,w,w,o,e,k,a,g
f,s,n,f,n,w,b,p,t,s,f,e,w,w,o,e,n,s,g
f,s,g,f,n,w,b,n,t,s,f,e,w,w,o,e,k,a,g
x,f,e,t,n,c,b,n,t,s,s,e,p,p,o,p,k,v,d
f,y,w,t,p,c,n,k,e,s,s,p,w,w,o,p,n,v,u
x,f,n,f,n,w,b,h,t,f,s,e,w,w,o,e,n,s,g
x,f,n,t,n,c,b,n,t,s,s,e,w,g,o,p,n,v,d
f,s,n,t,p,c,n,k,e,s,s,p,w,w,o,p,n,s,u
f,s,w,t,p,c,n,k,e,s,s,p,w,w,o,p,k,v,g
f,s,w,t,p,c,n,n,e,s,s,p,w,w,o,p,k,s,u
f,f,w,f,n,w,b,h,t,s,f,e,w,w,o,e,n,a,g
f,s,n,f,n,w,b,h,t,f,s,e,w,w,o,e,n,s,g
f,f,n,f,n,w,b,h,t,f,f,e,w,w,o,e,k,a,g
x,s,n,f,n,w,b,h,t,s,f,e,w,w,o,e,k,a,g
f,s,n,f,n,w,b,k,t,s,f,e,w,w,o,e,k,a,g
f,s,w,t,p,c,n,p,e,s,s,p,w,w,o,p,n,v,g
f,s,w,t,p,c,n,n,e,s,s,p,w,w,o,p,k,v,g
f,s,g,f,n,w,b,p,t,f,f,e,w,w,o,e,n,a,g
x,s,n,f,n,w,b,k,t,f,s,e,w,w,o,e,k,a,g
x,s,n,f,n,w,b,h,t,f,f,e,w,w,o,e,n,s,g
x,f,n,t,n,c,b,w,t,s,s,e,w,g,o,p,k,v,d
x,f,n,t,n,c,b,n,t,s,s,e,g,w,o,p,n,v,d
f,f,w,f,n,w,b,p,t,f,s,e,w,w,o,e,k,a,g
f,f,w,f,n,w,b,n,t,f,s,e,w,w,o,e,n,s,g
x,f,w,f,n,w,b,k,t,f,f,e,w,w,o,e,k,a,g
x,s,y,t,l,c,b,n,e,s,s,e,w,w,o,p,n,n,m
f,s,g,f,n,w,b,n,t,f,f,e,w,w,o,e,n,a,g
x,s,w,f,n,w,b,h,t,s,f,e,w,w,o,e,n,s,g
x,f,n,f,n,w,b,n,t,s,s,e,w,w,o,e,n,s,g
x,f,n,f,n,w,b,p,t,f,s,e,w,w,o,e,n,a,g
x,s,w,f,n,w,b,n,t,s,s,e,w,w,o,e,n,s,g
x,s,n,f,n,w,b,h,t,f,f,e,w,w,o,e,k,s,g
x,s,g,f,n,w,b,h,t,f,s,e,w,w,o,e,n,s,g
x,s,g,f,n,w,b,p,t,s,f,e,w,w,o,e,k,s,g
f,s,w,f,n,w,b,p,t,s,s,e,w,w,o,e,n,s,g
x,s,n,f,n,w,b,n,t,f,f,e,w,w,o,e,k,a,g
f,f,g,f,n,w,b,p,t,s,s,e,w,w,o,e,n,s,g
f,f,w,f,n,w,b,h,t,s,s,e,w,w,o,e,k,s,g
x,f,w,f,n,w,b,n,t,s,s,e,w,w,o,e,n,a,g
f,f,g,f,n,w,b,h,t,f,s,e,w,w,o,e,k,s,g
x,f,g,f,n,w,b,p,t,s,f,e,w,w,o,e,k,a,g
x,y,y,t,a,c,b,g,e,s,s,e,w,w,o,p,k,n,g
x,s,y,t,l,c,b,n,e,s,s,e,w,w,o,p,k,n,g
x,s,w,f,n,w,b,p,t,s,f,e,w,w,o,e,k,a,g
x,y,n,t,p,c,n,k,e,s,s,p,w,w,o,p,k,s,g
x,f,w,f,n,w,b,k,t,s,f,e,w,w,o,e,n,s,g
x,s,w,t,p,c,n,w,e,s,s,p,w,w,o,p,k,s,u
x,y,g,t,n,c,b,n,t,s,s,e,p,g,o,p,n,v,d
f,s,w,t,p,c,n,w,e,s,s,p,w,w,o,p,k,v,u
x,y,y,t,l,c,b,g,e,s,s,e,w,w,o,p,n,s,g
x,y,w,t,l,c,b,n,e,s,s,e,w,w,o,p,n,n,m
f,y,n,t,l,c,b,n,e,s,y,e,w,w,o,p,n,y,p
x,s,w,f,n,w,b,n,t,s,f,e,w,w,o,e,n,s,g
f,s,n,f,n,w,b,p,t,f,s,e,w,w,o,e,k,s,g
x,s,g,f,n,w,b,p,t,s,s,e,w,w,o,e,k,a,g
x,s,w,f,n,w,b,n,t,f,s,e,w,w,o,e,k,a,g
f,s,n,f,n,w,b,h,t,f,f,e,w,w,o,e,n,s,g
f,s,n,f,n,w,b,n,t,s,s,e,w,w,o,e,k,a,g
x,s,g,f,n,w,b,n,t,f,f,e,w,w,o,e,k,s,g
b,s,w,t,l,c,b,n,e,s,s,e,w,w,o,p,n,n,g
x,s,g,f,n,w,b,p,t,s,s,e,w,w,o,e,k,s,g
x,s,y,t,l,c,b,w,e,s,s,e,w,w,o,p,k,s,m
f,y,w,t,p,c,n,n,e,s,s,p,w,w,o,p,k,v,g
f,s,w,f,n,w,b,p,t,f,f,e,w,w,o,e,k,s,g
f,s,n,f,n,w,b,h,t,f,f,e,w,w,o,e,k,s,g
f,s,g,f,n,w,b,n,t,s,s,e,w,w,o,e,n,s,g
f,f,g,f,n,w,b,h,t,f,s,e,w,w,o,e,n,s,g
x,y,n,t,n,c,b,p,t,s,s,e,g,w,o,p,n,y,d
x,f,n,t,n,c,b,n,t,s,s,e,g,g,o,p,k,y,d
x,y,y,t,a,c,b,n,e,s,y,e,w,w,o,p,n,y,p
x,f,g,t,n,c,b,w,t,s,s,e,p,p,o,p,k,y,d
f,f,g,f,n,w,b,p,t,f,f,e,w,w,o,e,n,a,g
f,s,n,f,n,w,b,h,t,f,s,e,w,w,o,e,k,s,g
f,s,w,f,n,w,b,n,t,s,f,e,w,w,o,e,n,a,g
x,f,g,f,n,w,b,k,t,f,s,e,w,w,o,e,n,a,g
f,s,w,f,n,w,b,n,t,f,f,e,w,w,o,e,k,s,g
f,f,g,f,n,w,b,n,t,f,s,e,w,w,o,e,n,a,g
x,f,g,f,n,w,b,k,t,s,s,e,w,w,o,e,n,a,g
x,s,n,f,n,w,b,k,t,s,f,e,w,w,o,e,n,a,g
x,f,n,t,n,c,b,w,t,s,s,e,w,g,o,p,k,y,d
f,s,w,f,n,w,b,k,t,s,s,e,w,w,o,e,n,s,g
f,f,n,f,n,w,b,n,t,f,s,e,w,w,o,e,k,s,g
f,y,n,t,p,c,n,w,e,s,s,p,w,w,o,p,k,s,g
x,f,n,t,n,c,b,n,t,s,s,e,p,w,o,p,k,y,d
x,f,n,f,n,w,b,p,t,f,f,e,w,w,o,e,k,s,g
f,f,w,f,n,w,b,n,t,s,f,e,w,w,o,e,k,s,g
f,y,n,t,p,c,n,n,e,s,s,p,w,w,o,p,n,v,u
f,f,g,f,n,w,b,k,t,s,s,e,w,w,o,e,k,s,g
x,f,g,t,n,c,b,n,t,s,s,e,w,w,o,p,k,v,d
x,f,w,f,n,w,b,p,t,f,f,e,w,w,o,e,k,a,g
x,f,g,f,n,w,b,h,t,f,f,e,w,w,o,e,k,s,g
x,f,n,t,n,c,b,w,t,s,s,e,g,p,o,p,n,v,d
x,s,g,f,n,w,b,h,t,s,f,e,w,w,o,e,n,a,g
f,f,w,f,n,w,b,p,t,s,f,e,w,w,o,e,n,a,g
x,f,g,t,n,c,b,u,t,s,s,e,p,p,o,p,k,y,d
x,y,w,t,l,c,b,w,e,s,s,e,w,w,o,p,k,n,g
x,y,w,t,l,c,b,k,e,s,s,e,w,w,o,p,n,n,m
f,s,g,f,n,w,b,p,t,f,s,e,w,w,o,e,n,s,g
f,s,w,f,n,w,b,k,t,s,s,e,w,w,o,e,k,a,g
f,s,n,f,n,w,b,n,t,f,f,e,w,w,o,e,k,s,g
f,s,w,f,n,w,b,p,t,f,s,e,w,w,o,e,k,a,g
x,f,n,f,n,w,b,h,t,s,f,e,w,w,o,e,n,a,g
x,s,n,f,n,w,b,n,t,s,f,e,w,w,o,e,n,s,g
b,y,y,t,a,c,b,g,e,s,s,e,w,w,o,p,n,n,m
f,y,w,t,p,c,n,k,e,s,s,p,w,w,o,p,k,v,g
x,s,n,f,n,w,b,k,t,s,f,e,w,w,o,e,k,a,g
f,s,n,f,n,w,b,k,t,f,s,e,w,w,o,e,k,s,g
x,y,n,t,a,c,b,n,e,s,y,e,w,w,o,p,k,s,g
x,s,g,f,n,w,b,n,t,f,f,e,w,w,o,e,n,a,g
f,s,w,f,n,w,b,k,t,f,s,e,w,w,o,e,n,a,g
x,s,n,t,p,c,n,n,e,s,s,p,w,w,o,p,k,v,u
f,s,g,f,n,w,b,n,t,f,f,e,w,w,o,e,k,a,g
x,f,w,f,n,w,b,p,t,f,s,e,w,w,o,e,n,s,g
f,s,n,t,p,c,n,n,e,s,s,p,w,w,o,p,k,v,g
x,f,n,f,n,w,b,p,t,s,s,e,w,w,o,e,n,a,g
x,s,n,f,n,w,b,p,t,f,s,e,w,w,o,e,k,a,g
x,f,n,t,n,c,b,u,t,s,s,e,g,p,o,p,k,v,d
f,s,w,f,n,w,b,p,t,f,s,e,w,w,o,e,k,s,g
f,s,w,t,p,c,n,p,e,s,s,p,w,w,o,p,n,v,u
x,f,w,f,n,w,b,h,t,s,f,e,w,w,o,e,k,a,g
f,f,n,f,n,w,b,h,t,s,s,e,w,w,o,e,n,s,g
f,s,g,f,n,w,b,p,t,f,f,e,w,w,o,e,n,s,g
x,f,w,f,n,w,b,n,t,f,f,e,w,w,o,e,k,a,g
f,y,n,t,l,c,b,w,e,s,y,e,w,w,o,p,n,y,g
f,s,w,t,p,c,n,w,e,s,s,p,w,w,o,p,n,s,g
x,f,w,f,n,w,b,p,t,s,s,e,w,w,o,e,n,a,g
f,f,n,f,n,c,n,p,e,s,s,e,w,w,o,p,k,y,u
f,y,n,t,p,c,n,w,e,s,s,p,w,w,o,p,n,s,u
f,s,w,f,n,w,b,n,t,s,f,e,w,w,o,e,n,s,g
x,f,g,f,n,w,b,k,t,f,f,e,w,w,o,e,n,s,g
f,y,y,t,a,c,b,n,e,s,y,e,w,w,o,p,n,y,p
x,f,w,f,n,w,b,h,t,f,f,e,w,w,o,e,n,s,g
x,f,w,f,n,w,b,h,t,f,f,e,w,w,o,e,k,a,g
f,y,n,t,p,c,n,n,e,s,s,p,w,w,o,p,n,s,g
f,f,n,f,n,w,b,h,t,f,s,e,w,w,o,e,k,s,g
f,f,g,f,n,w,b,k,t,s,s,e,w,w,o,e,n,s,g
x,f,n,f,n,w,b,n,t,s,s,e,w,w,o,e,k,s,g
x,f,n,t,n,c,b,p,t,s,s,e,p,p,o,p,n,v,d
x,s,g,f,n,w,b,k,t,f,f,e,w,w,o,e,k,s,g
x,s,g,f,n,w,b,n,t,f,s,e,w,w,o,e,k,a,g
x,f,w,f,n,w,b,k,t,f,f,e,w,w,o,e,k,s,g
f,f,g,f,n,w,b,h,t,s,s,e,w,w,o,e,n,s,g
x,f,n,t,n,c,b,n,t,s,s,e,w,w,o,p,k,y,d
x,s,w,f,n,w,b,p,t,f,f,e,w,w,o,e,n,s,g
x,s,w,t,p,c,n,n,e,s,s,p,w,w,o,p,n,s,u
f,s,g,f,n,w,b,n,t,s,f,e,w,w,o,e,n,a,g
x,s,n,f,n,w,b,k,t,s,s,e,w,w,o,e,n,s,g
x,f,n,t,n,c,b,p,t,s,s,e,w,g,o,p,k,v,d
x,y,y,t,a,c,b,p,e,s,y,e,w,w,o,p,n,y,g
x,s,g,f,n,w,b,k,t,f,f,e,w,w,o,e,k,a,g
x,f,n,f,n,w,b,h,t,f,s,e,w,w,o,e,k,a,g
x,f,w,f,n,w,b,k,t,s,s,e,w,w,o,e,k,a,g
x,y,y,t,a,c,b,k,e,s,s,e,w,w,o,p,n,s,g
x,f,n,t,n,c,b,p,t,s,s,e,g,w,o,p,k,y,d
x,f,w,f,n,w,b,p,t,s,s,e,w,w,o,e,k,a,g
x,f,w,f,n,w,b,n,t,f,s,e,w,w,o,e,k,a,g
f,s,n,t,p,c,n,n,e,s,s,p,w,w,o,p,n,s,u
f,s,w,t,p,c,n,k,e,s,s,p,w,w,o,p,k,v,u
x,s,n,f,n,w,b,p,t,s,s,e,w,w,o,e,k,a,g
x,f,g,f,n,c,n,n,e,s,s,e,w,w,o,p,n,v,u
f,s,n,f,n,w,b,p,t,f,f,e,w,w,o,e,k,s,g
x,s,w,f,n,w,b,k,t,f,s,e,w,w,o,e,k,a,g
f,s,w,t,p,c,n,w,e,s,s,p,w,w,o,p,k,s,g
b,s,y,t,a,c,b,k,e,s,s,e,w,w,o,p,n,s,g
x,f,n,f,n,w,b,h,t,f,f,e,w,w,o,e,k,a,g
f,y,n,t,p,c,n,n,e,s,s,p,w,w,o,p,k,s,u
x,s,g,f,n,w,b,h,t,f,f,e,w,w,o,e,k,a,g
x,s,g,f,n,w,b,k,t,s,f,e,w,w,o,e,n,s,g
x,s,w,f,n,w,b,n,t,f,s,e,w,w,o,e,k,s,g
f,s,w,t,p,c,n,n,e,s,s,p,w,w,o,p,n,v,u
f,s,w,f,n,w,b,k,t,f,f,e,w,w,o,e,k,a,g
x,f,n,f,n,w,b,h,t,f,s,e,w,w,o,e,n,a,g
f,f,n,f,n,w,b,p,t,s,s,e,w,w,o,e,n,s,g
x,f,n,f,n,w,b,p,t,f,f,e,w,w,o,e,n,a,g
f,y,n,t,p,c,n,k,e,s,s,p,w,w,o,p,k,v,g
x,f,w,f,n,w,b,p,t,s,f,e,w,w,o,e,n,s,g
f,s,w,f,n,w,b,p,t,f,s,e,w,w,o,e,n,a,g
f,y,w,t,p,c,n,k,e,s,s,p,w,w,o,p,k,v,u
f,s,g,f,n,w,b,p,t,s,f,e,w,w,o,e,k,a,g
f,y,n,t,n,c,b,w,t,s,s,e,w,g,o,p,n,v,d
x,f,g,f,n,w,b,h,t,s,f,e,w,w,o,e,n,a,g
x,f,g,t,n,c,b,u,t,s,s,e,w,p,o,p,k,v,d
x,y,n,t,n,c,b,p,t,s,s,e,p,w,o,p,n,v,d
f,f,n,t,n,c,b,n,t,s,s,e,p,g,o,p,n,y,d
f,y,e,t,n,c,b,p,t,s,s,e,p,p,o,p,k,v,d
f,s,g,f,n,w,b,h,t,f,s,e,w,w,o,e,n,s,g
x,f,g,t,n,c,b,u,t,s,s,e,p,p,o,p,n,y,d
x,y,g,t,n,c,b,p,t,s,s,e,g,p,o,p,k,y,d
x,f,g,f,n,w,b,p,t,f,s,e,w,w,o,e,n,s,g
f,s,n,t,p,c,n,n,e,s,s,p,w,w,o,p,n,s,g
f,f,n,t,n,c,b,n,t,s,s,e,g,w,o,p,k,v,d
x,s,n,t,p,c,n,n,e,s,s,p,w,w,o,p,k,v,g
x,s,w,t,a,c,b,n,e,s,s,e,w,w,o,p,n,s,g
x,s,w,f,n,w,b,h,t,s,s,e,w,w,o,e,k,a,g
x,y,y,t,a,c,b,g,e,s,s,e,w,w,o,p,n,s,g
x,f,g,f,f,c,b,h,e,k,k,p,n,b,o,l,h,y,g
f,s,n,f,n,w,b,k,t,f,s,e,w,w,o,e,n,a,g
f,s,w,f,n,w,b,p,t,f,f,e,w,w,o,e,n,s,g
x,f,n,t,n,c,b,p,t,s,s,e,g,g,o,p,k,v,d
f,s,n,f,n,w,b,h,t,s,s,e,w,w,o,e,k,s,g
x,f,n,f,n,w,b,h,t,s,f,e,w,w,o,e,k,s,g
x,s,w,t,p,c,n,p,e,s,s,p,w,w,o,p,k,v,u
f,f,n,t,n,c,b,p,t,s,s,e,p,g,o,p,n,y,d
x,y,w,t,l,c,b,k,e,s,s,e,w,w,o,p,n,n,g
f,f,g,f,n,w,b,n,t,f,s,e,w,w,o,e,k,s,g
x,y,e,t,n,c,b,n,t,s,s,e,w,g,o,p,n,v,d
f,f,w,f,n,w,b,n,t,s,s,e,w,w,o,e,k,s,g
x,s,g,f,n,w,b,p,t,f,s,e,w,w,o,e,n,a,g
x,y,n,t,n,c,b,n,t,s,s,e,w,p,o,p,k,v,d
x,y,g,t,n,c,b,w,t,s,s,e,w,g,o,p,n,y,d
x,f,g,t,n,c,b,u,t,s,s,e,g,w,o,p,k,v,d
f,s,w,f,n,w,b,n,t,f,s,e,w,w,o,e,n,a,g
x,f,g,t,n,c,b,u,t,s,s,e,p,w,o,p,k,v,d
x,f,n,t,n,c,b,u,t,s,s,e,g,g,o,p,n,v,d
x,f,e,t,n,c,b,w,t,s,s,e,g,w,o,p,n,v,d
x,y,n,t,n,c,b,w,t,s,s,e,p,g,o,p,n,y,d
f,f,w,f,n,w,b,h,t,f,f,e,w,w,o,e,n,s,g
x,y,n,t,n,c,b,p,t,s,s,e,p,w,o,p,k,y,d
x,s,g,f,n,w,b,n,t,s,f,e,w,w,o,e,k,s,g
x,f,g,f,n,w,b,h,t,f,s,e,w,w,o,e,k,a,g
f,f,w,f,n,w,b,p,t,s,s,e,w,w,o,e,n,a,g
x,y,g,t,n,c,b,p,t,s,s,e,w,p,o,p,k,v,d
f,y,n,t,p,c,n,k,e,s,s,p,w,w,o,p,n,s,u
x,y,e,t,n,c,b,p,t,s,s,e,p,g,o,p,k,v,d
f,f,w,f,n,w,b,p,t,s,f,e,w,w,o,e,k,s,g
f,s,g,f,n,w,b,h,t,f,s,e,w,w,o,e,n,a,g
x,y,g,t,n,c,b,w,t,s,s,e,g,p,o,p,n,v,d
f,f,g,t,n,c,b,p,t,s,s,e,p,w,o,p,k,v,d
x,f,n,t,n,c,b,w,t,s,s,e,g,w,o,p,k,v,d
f,f,e,t,n,c,b,n,t,s,s,e,w,p,o,p,k,v,d
x,s,w,f,n,w,b,h,t,f,s,e,w,w,o,e,n,a,g
x,f,e,t,n,c,b,w,t,s,s,e,w,g,o,p,n,v,d
x,f,n,t,n,c,b,p,t,s,s,e,w,p,o,p,k,v,d
x,f,g,t,n,c,b,u,t,s,s,e,w,w,o,p,k,y,d
x,f,n,t,n,c,b,n,t,s,s,e,p,w,o,p,n,y,d
x,f,y,t,a,w,n,w,t,s,s,e,w,w,o,p,n,v,d
x,f,e,t,n,c,b,w,t,s,s,e,g,g,o,p,n,v,d
f,s,w,t,p,c,n,w,e,s,s,p,w,w,o,p,n,v,g
x,s,w,f,n,w,b,h,t,f,f,e,w,w,o,e,k,s,g
x,f,e,t,n,c,b,u,t,s,s,e,g,g,o,p,n,y,d
x,y,n,t,n,c,b,w,t,s,s,e,p,p,o,p,k,v,d
x,f,w,f,n,w,b,h,t,f,s,e,w,w,o,e,k,a,g
x,f,g,t,n,c,b,w,t,s,s,e,p,w,o,p,n,y,d
x,s,g,f,n,w,b,n,t,s,s,e,w,w,o,e,n,s,g
x,y,e,t,n,c,b,w,t,s,s,e,p,g,o,p,n,y,d
x,y,n,t,n,c,b,u,t,s,s,e,p,w,o,p,n,v,d
x,s,w,f,n,w,b,p,t,f,s,e,w,w,o,e,k,a,g
x,s,n,f,n,w,b,n,t,s,f,e,w,w,o,e,k,a,g
x,s,w,f,n,w,b,n,t,s,s,e,w,w,o,e,k,s,g
x,s,n,f,n,w,b,n,t,s,f,e,w,w,o,e,k,s,g
f,f,e,t,n,c,b,n,t,s,s,e,p,g,o,p,n,y,d
f,f,w,f,n,w,b,n,t,s,f,e,w,w,o,e,k,a,g
f,f,g,f,n,w,b,k,t,s,s,e,w,w,o,e,k,a,g
x,y,e,t,n,c,b,w,t,s,s,e,g,g,o,p,n,v,d
x,f,e,t,n,c,b,p,t,s,s,e,p,w,o,p,n,y,d
x,y,g,t,n,c,b,u,t,s,s,e,w,w,o,p,n,v,d
x,f,e,t,n,c,b,p,t,s,s,e,w,g,o,p,k,y,d
f,s,n,f,n,w,b,h,t,s,s,e,w,w,o,e,n,s,g
x,s,w,f,n,w,b,n,t,s,s,e,w,w,o,e,k,a,g
x,s,w,f,n,w,b,h,t,s,f,e,w,w,o,e,k,a,g
x,f,w,f,n,w,b,k,t,s,s,e,w,w,o,e,n,a,g
x,f,e,t,n,c,b,u,t,s,s,e,g,p,o,p,n,v,d
x,f,n,t,n,c,b,u,t,s,s,e,g,g,o,p,n,y,d
f,f,n,t,n,c,b,w,t,s,s,e,g,p,o,p,k,v,d
f,f,w,t,l,w,n,p,t,s,s,e,w,w,o,p,n,v,d
f,f,w,f,n,w,b,k,t,f,f,e,w,w,o,e,k,a,g
f,y,w,t,p,c,n,n,e,s,s,p,w,w,o,p,k,s,g
f,f,g,t,n,c,b,n,t,s,s,e,g,g,o,p,k,v,d
x,f,n,t,n,c,b,w,t,s,s,e,w,g,o,p,n,v,d
x,s,w,f,n,w,b,k,t,f,f,e,w,w,o,e,n,a,g
x,f,w,f,n,w,b,h,t,f,f,e,w,w,o,e,n,a,g
x,s,n,f,n,w,b,h,t,s,s,e,w,w,o,e,n,a,g
