Student,GPA
VJM,3.5544
CAV,3.3808
DJC,3.9738
LXP,3.4125
BKL,3.8042
FKG,3.4077
FGL,2.5533
XUD,3.6633
UID,3.5709
PVV,3.4125
PTX,3.4331
LJT,3.3309
CTS,3.1535
DUV,3.6318
LVI,3.5967
FHI,3.2031
DEG,3.2189
VBG,3.4871
UOM,3.58
UFR,3.7383
BGO,3.43
FGQ,3.4838
HMU,2.955
STL,3.7183
PZJ,2.7662
IHL,2.9971
FHP,3.888
ERU,3.597
HGV,4
MIE,3.6629
HMY,2.7492
PRI,3.4433
NPX,3.3071
QZL,3.3307
CNA,2.9971
PEE,3.2853
ZXW,3.6358
ZGW,3.22
TCO,3.4125
NYI,3.86
SIU,3.7192
JPQ,3.6864
ROW,3.6075
TPH,3.43
LHG,3.27
IBE,3.1935
AJW,2.45
VBI,3.6318
JPH,3.4836
LOW,3.642
VCW,3.429
RGH,3.2357
EYJ,3.5427
SMO,3.4021
ZQI,3.2633
HYD,3.6358
KCC,3.932
IIL,3.6623
SND,3.9433
VQE,3.27
XNH,3.5671
RXY,3.5118
OXX,3.1
YNB,3.4969
HOC,3.4527
FUV,3.4827
ESD,3.2031
ANP,3.4077
NPA,3.1831
SSY,3.4827
XKX,2.8155
BKD,3.4209
AUV,3.1912
TAG,3.6009
SGF,3.1912
ZVL,3.6075
ZMX,3.4743
MSB,3.297
KIO,3.0914
AWW,3.4827
TWG,3.4827
GEO,3.3858
WSW,3.0706
KJU,3.698
MUA,3.264
FSW,3.8875
ZUW,3.5847
GKG,3.497
DNL,3.3858
VNE,3.7931
GYH,3.0469
UJI,3.5258
NJO,2.7662
HEB,3.0517
SHY,3.4417
RME,3.7343
JIT,3.6625
LKI,2.9971
DFE,3.6631
CBX,3.4331
LZM,3.6327
HEF,3.5118
FJN,3.3519
OHL,3.2189
UOB,3.4592
DVQ,3.5862
LEN,3.9244
XPP,3.5623
IAR,3.462
OES,3.932
FTV,3.6342
ZIY,3.1225
DQP,3.6864
OGW,3.0525
YGG,3.698
VYO,3.2373
IZL,3.888
PTH,3.27
OJR,3.6437
ZBY,3.6362
RHM,3.497
LQS,3.174
QTD,3.5623
WYF,2.615
FRJ,3.462
CFH,3.1831
CUC,3.462
PYB,2.9971
HJP,3.8042
IMU,3.2269
TAK,3.8325
WXF,4
NUI,3.82
HFP,3.73
RXX,3.2523
GEG,3.2189
XUV,3.4827
UYS,3.8224
ZEN,3.297
ZAI,3.528
VGO,3.7178
OHM,3.2378
NIS,3.3747
JOS,3.4827
ZJL,3.7931
BOE,3.4789
JKL,3.6157
YPY,3.73
XKA,3.44
TSL,3.8164
AUQ,3.7307
SPC,3.5544
WWH,3.6625
OLK,3.7227
YBO,3.5727
JUF,3.73
XVP,2.8764
HFW,3.5533
KFR,3.6058
SWF,2.7586
ULE,3.6327
OMI,2.4585
SCM,2.8506
DZS,3.2523
OGI,3.7056
XVB,3.2193
GJO,3.2031
ZCI,3.33
RDZ,3.8627
XZW,3.7383
KZD,3.7192
AII,3.355
AMQ,3.5709
UCR,3.497
KPI,3.4846
SII,3.2357
OOU,2.955
UJX,3.0156
TCZ,3.5436
NMA,3.1967
KQC,3.8177
ITQ,3.308
ASQ,3.4871
AMT,2.9208
JQJ,3.6318
YBQ,2.6131
GPW,3.5193
SGB,3.164
TMP,2.5533
RUP,3.5233
CAC,3.5293
DMK,3.497
BPS,3.53
FYU,3.7483
LWO,3.6654
QZP,3.1831
ZBS,3.74
DUH,3.165
SGZ,3.2567
RNQ,3.0921
IZZ,3.1225
QFH,3.4
JUB,3.4871
SJQ,3.229
QSL,3.53
XVE,3.5679
XZN,2.4315
JEY,3.6419
ZGZ,3.7056
MIQ,2.8786
ZMK,3.1225
MDA,3.698
OAU,3.73
JOR,3.915
WCQ,3.496
WCD,3.8455
VNR,2.1864
IZU,3.429
RQB,2.9576
SCS,3.4527
PYG,3.83
RQL,2.9208
MAK,3.6636
FEP,3.6171
MOO,3.7114
MLZ,3.165
XOJ,3.1225
NYJ,3.5717
VZB,2.235
BAL,2.9973
GCQ,3.0181
BNV,2.4125
TEW,3.2031
NLZ,3.4846
LUX,3.165
ZTO,3.1407
DLZ,3.1631
TPA,3.1639
XHD,3.3786
VLR,3.2467
KAE,2.22
NGY,3.4836
BHQ,3.27
DFJ,3.2031
MUJ,3.5709
HPZ,3.5517
USK,3.7383
GYS,3.1631
IWO,3.86
CWM,3.53
GVA,3.0806
ULF,3.2114
QYX,3.5727
ELW,3.5967
RKG,3.7408
NUR,3.13
JTZ,3.5671
PMO,3.5258
FQE,3.4789
PFS,3.205
IQC,3.165
OEG,2.7492
PFX,3.5862
FOV,3.64
EMN,3.3286
GWB,3.2189
EPW,3.6636
RBE,3.2192
JUV,3.5307
SRG,3.13
IDK,3.0706
WFH,3.4729
WHN,3.4425
LFW,3.429
BKR,3.5869
RWG,3.754
LEG,3.1535
UWL,3.7192
OOK,3.9244
BNZ,3.4323
PYY,3.8543
RUG,3.4827
LIJ,3.53
MKY,3.898
SRP,3.8192
UXS,3.1225
HJN,3.6625
LSF,3.2357
CKD,3.7383
ODP,3.5436
XRV,3.3808
DEC,3.5427
OQR,3.4209
JGM,3.7307
KER,3.528
FMM,3.5093
FAP,3.82
LUG,3.6638
RCE,3.52
AGK,3.462
FHA,2.6108
UWS,3.4846
FLK,2.932
OFA,3.1475
SJO,3.6164
PPI,3.5679
TQP,3.13
ISL,3.1912
QCH,3.7114
MJN,3.1475
GLE,3.02
OZQ,3.63
EKM,3.6237
IUW,3.7073
KAO,3.7307
SJL,3.4021
RFG,3.205
KUX,3.888
NFO,3.4827
ILO,3.898
HRU,3.6629
IOS,3.33
XAS,2.9985
GTV,3.5127
JHT,3.5967
GVF,3.43
MVM,4
CPO,2.4021
INI,3.6164
IQO,3.528
HIT,3.4592
PMP,3.5671
FKP,3.6623
UBB,3.915
OEI,3.6654
YMJ,3.4425
ZAY,2.8506
GCL,3.8177
LPS,3.4846
REX,3.7483
DHC,3.1831
OJD,2.9307
SQR,3.4069
MIP,3.6633
WED,4
JCI,3.9382
RFD,3.9433
SSO,3.8192
RXW,2.9973
AGX,2.6108
TSD,3.7087
JQF,3.7383
QQV,3.21
BYB,2.7586
KYH,3.1
JNW,3.463
QKU,3.7845
XTX,2.8764
GDD,3.4743
XOE,3.5727
XYW,3.754
YLZ,3.4486
GLB,3.3519
MCF,3.33
OER,3.1967
QXT,3.684
MXI,3.732
AXE,3.564
NCK,3.5127
SQT,3.2853
PQI,3.3741
XPJ,3.5967
QKH,3.4846
GPZ,3.898
LFX,3.6089
MNF,3.5127
WVO,3.429
QHR,3.82
JJO,3.5679
